Wavelength	MM500006.asd
350	 5.33893608902844E-02 
351	 5.58258263211412E-02 
352	 5.35788709008982E-02 
353	 4.90637020278832E-02 
354	 5.53388943128337E-02 
355	 5.99297609540797E-02 
356	 6.03566727792179E-02 
357	 5.83815849763126E-02 
358	 6.05731054488355E-02 
359	 5.76548432311213E-02 
360	 0.053370500429013 
361	 5.82315644614459E-02 
362	 5.82903108427959E-02 
363	 5.58623040217755E-02 
364	 5.41817094004388E-02 
365	 5.47217040253779E-02 
366	 5.42115332901321E-02 
367	 5.44100862380679E-02 
368	 5.69135143741886E-02 
369	 5.71431509327739E-02 
370	 5.82387567592306E-02 
371	 0.060418749764631 
372	 6.17233026621405E-02 
373	 6.03249434966445E-02 
374	 5.95244921211576E-02 
375	 6.07996183678318E-02 
376	 0.061506759186869 
377	 0.060678693986247 
378	 6.04433687011177E-02 
379	 6.28858501784578E-02 
380	 0.066239172102842 
381	 6.48614697890424E-02 
382	 6.20050188871814E-02 
383	 6.65291133197124E-02 
384	 6.83238587989873E-02 
385	 0.066828812056929 
386	 6.44634248914715E-02 
387	 6.64725941551478E-02 
388	 6.76792939536743E-02 
389	 6.80992024274037E-02 
390	 6.90471625712099E-02 
391	 6.95011770909511E-02 
392	 7.06071210564137E-02 
393	 7.17672615793776E-02 
394	 7.11521167703785E-02 
395	 7.26462584557369E-02 
396	 7.44777855600604E-02 
397	 7.52094125544602E-02 
398	 7.62704482501429E-02 
399	 7.64195094296943E-02 
400	 7.60686506902428E-02 
401	 7.62538645090408E-02 
402	 7.79264260875041E-02 
403	 7.88245409588277E-02 
404	 7.85171426216895E-02 
405	 7.85940295301846E-02 
406	 8.00731785387374E-02 
407	 8.14077149385843E-02 
408	 8.13397280249171E-02 
409	 8.04646649519435E-02 
410	 8.05156174103432E-02 
411	 0.08111605175658 
412	 8.10872619204734E-02 
413	 8.16790468188432E-02 
414	 8.15424705724171E-02 
415	 0.080671578112986 
416	 8.09984969481273E-02 
417	 8.10865852655846E-02 
418	 8.12998106464908E-02 
419	 8.19482290131216E-02 
420	 8.17115433905375E-02 
421	 8.12191417248228E-02 
422	 0.081039263688702 
423	 8.15386666540977E-02 
424	 8.16838166917858E-02 
425	 8.15648190241921E-02 
426	 8.12958051309434E-02 
427	 8.06762175795343E-02 
428	 8.03644892636715E-02 
429	 8.03446240476362E-02 
430	 8.03558676782624E-02 
431	 8.02239205509244E-02 
432	 7.98693627245259E-02 
433	 7.96230452261346E-02 
434	 8.01438685115806E-02 
435	 8.08074653532949E-02 
436	 8.11745475358148E-02 
