Wavelength	LMW_13_a00000.asd
350	 4.38916688604545E-02 
351	 4.35733015379769E-02 
352	 3.99087332267091E-02 
353	 3.65692224435434E-02 
354	 4.19735790877093E-02 
355	 4.52142104837825E-02 
356	 4.58829598273756E-02 
357	 4.65524765777194E-02 
358	 5.03058799514833E-02 
359	 4.87399037021797E-02 
360	 4.46561095770104E-02 
361	 4.68837009329027E-02 
362	 4.44565653642846E-02 
363	 4.24234241979695E-02 
364	 0.042806892371724 
365	 3.95971559730925E-02 
366	 3.94062272057883E-02 
367	 4.07828687460056E-02 
368	 4.08473058550177E-02 
369	 0.040528059871949 
370	 3.92216378255371E-02 
371	 3.95242674815737E-02 
372	 4.52152275231405E-02 
373	 4.78792460322776E-02 
374	 4.61984763373839E-02 
375	 4.28177305582615E-02 
376	 0.045662848127514 
377	 4.22900617130497E-02 
378	 0.039156521453452 
379	 0.044114792287946 
380	 4.62368177588978E-02 
381	 4.52157455562917E-02 
382	 4.40574168131837E-02 
383	 4.73781986392591E-02 
384	 5.05075531176265E-02 
385	 5.05677511103418E-02 
386	 4.79972923662067E-02 
387	 4.87692211170332E-02 
388	 4.95737407701597E-02 
389	 4.99809892977767E-02 
390	 5.01805090477435E-02 
391	 4.86606267901103E-02 
392	 5.02888251675704E-02 
393	 5.40252756566282E-02 
394	 5.41171665585517E-02 
395	 5.43345427022561E-02 
396	 5.54404079305959E-02 
397	 0.057005433494254 
398	 5.69597550863428E-02 
399	 0.058468206311053 
400	 6.05913235861902E-02 
401	 6.11401935159839E-02 
402	 6.00795439053732E-02 
403	 6.04009852504448E-02 
404	 6.19667287212233E-02 
405	 6.15162841719226E-02 
406	 0.061919995298038 
407	 6.26825025268225E-02 
408	 6.29860202836321E-02 
409	 6.29249616895493E-02 
410	 6.22784977888425E-02 
411	 6.19379021467334E-02 
412	 6.28816455698182E-02 
413	 0.062834353551921 
414	 6.29707888027988E-02 
415	 6.35132387213598E-02 
416	 6.30873707690196E-02 
417	 6.26483185418914E-02 
418	 6.22702742743276E-02 
419	 6.18786109105535E-02 
420	 6.17137191785112E-02 
421	 0.061027793584414 
422	 6.03265971741956E-02 
423	 6.06831274087427E-02 
424	 5.99330185923437E-02 
425	 5.89338263057832E-02 
426	 5.83836245305128E-02 
427	 5.80180199212433E-02 
428	 5.72587791880932E-02 
429	 5.67959957429926E-02 
430	 5.72775811437805E-02 
431	 5.69498308863786E-02 
432	 5.68661006107718E-02 
433	 5.72443823886345E-02 
434	 5.74083556504645E-02 
435	 5.81778941867307E-02 
436	 5.89283486483066E-02 
437	 5.92291921069791E-02 
438	 5.98385260175875E-02 
439	 6.07639328973835E-02 
440	 6.16946427846086E-02 
441	 6.22844383680573E-02 
442	 6.33919617130978E-02 
443	 6.45344810947073E-02 
444	 6.54593486050443E-02 
445	 6.64618561852023E-02 
446	 6.73088771843154E-02 
447	 6.80744599792156E-02 
448	 6.88806438154581E-02 
449	 6.96236255897137E-02 
450	 7.06389670432759E-02 
451	 7.18784358596658E-02 
452	 7.29749809775936E-02 
453	 7.40404169562745E-02 
454	 7.48170992249727E-02 
455	 7.53056518597669E-02 
456	 7.62595993197838E-02 
457	 7.73286174775579E-02 
458	 7.82526475862506E-02 
459	 7.88845692598177E-02 
460	 7.96532497473543E-02 
461	 0.08043015850385 
462	 8.12260998596802E-02 
463	 8.23264177643292E-02 
464	 8.31647331039065E-02 
465	 8.38305960511306E-02 
466	 8.45651404925156E-02 
467	 8.53999341723792E-02 
468	 8.61902718755022E-02 
469	 8.69160541181765E-02 
470	 8.76554430533482E-02 
471	 8.83000158330214E-02 
472	 8.89523543340387E-02 
473	 8.97222082991969E-02 
474	 9.07032997730769E-02 
475	 9.13887590467346E-02 
476	 9.18522892422064E-02 
477	 9.24110296243924E-02 
478	 9.29985509467349E-02 
479	 9.36462496667878E-02 
480	 9.43556008039426E-02 
481	 9.50836434948853E-02 
482	 9.58287908318683E-02 
483	 9.63717536194958E-02 
484	 9.66319044929805E-02 
485	 9.73232997186979E-02 
486	 9.77682161234591E-02 
487	 9.79468503485193E-02 
488	 9.83927178943194E-02 
489	 9.89139281571463E-02 
490	 9.93784214288201E-02 
491	 9.97209092784359E-02 
492	 0.10001767125392 
493	 0.100269177136752 
494	 0.100462654049184 
495	 0.100619445034967 
496	 0.101101274720942 
497	 0.101428902727177 
498	 0.10149884697597 
499	 0.101881634480925 
500	 0.102127510466983 
501	 0.102218214984289 
502	 0.1022955770887 
503	 0.102635972194006 
504	 0.102813227166155 
505	 0.102824730275157 
506	 0.103052026905943 
507	 0.103145512766506 
508	 0.103206500332692 
509	 0.10334361936954 
510	 0.103463149375188 
511	 0.103489795144974 
512	 0.103535952495152 
513	 0.103764782277976 
514	 0.103805371938392 
515	 0.103786675308464 
516	 0.103832419417852 
517	 0.103965957057411 
518	 0.104063076125403 
519	 0.104045686286419 
520	 0.103919939306555 
521	 0.103996905336005 
522	 0.104100693322734 
523	 0.104157347383854 
524	 0.104228674056182 
525	 0.104278241656813 
526	 0.104273752991994 
527	 0.104245161405189 
528	 0.104423568041264 
529	 0.104560013052368 
530	 0.104587764825222 
531	 0.104572654472681 
532	 0.104588422743724 
533	 0.104643014000355 
534	 0.104729452672189 
535	 0.104850678064691 
536	 0.104883883277318 
537	 0.104890534938634 
538	 0.104988057636424 
539	 0.105119042547734 
540	 0.105169487891014 
541	 0.10517560848014 
542	 0.105374333028057 
543	 0.105598600431545 
544	 0.10575400741981 
545	 0.105825031665119 
546	 0.106035142512301 
547	 0.106170837186925 
548	 0.106203925968397 
549	 0.106273518568072 
550	 0.106430355269766 
551	 0.106550750870291 
552	 0.106607290461586 
553	 0.106938977723386 
554	 0.107134589693746 
555	 0.107198218254546 
556	 0.107344190251118 
557	 0.107516604424966 
558	 0.107750173369547 
559	 0.108052453106848 
560	 0.108383055569266 
561	 0.108603318219049 
562	 0.108809067337291 
563	 0.109125341676438 
564	 0.109324104689201 
565	 0.109543089851011 
566	 0.109849641228412 
567	 0.110208163825352 
568	 0.110621094474969 
569	 0.110974351001534 
570	 0.111192014293934 
571	 0.111392386731012 
572	 0.111657736963039 
573	 0.112002084100453 
574	 0.112383087473768 
575	 0.112736208295341 
576	 0.113170097879472 
577	 0.11371252454452 
578	 0.114147006680044 
579	 0.114634858769968 
580	 0.115167132273579 
581	 0.11567244416662 
582	 0.116190013204759 
583	 0.116611824050036 
584	 0.116902629885077 
585	 0.11713692020127 
586	 0.117581621505243 
587	 0.118143432244961 
588	 0.118672206067375 
589	 0.119337158693323 
590	 0.119917876648934 
