Wavelength	MM_3300007.asd
350	 3.93789738957644E-02 
351	 3.78901960776206E-02 
352	 3.93923099003095E-02 
353	 4.38501478361527E-02 
354	 3.41343313628765E-02 
355	 3.05262723772404E-02 
356	 3.15247079785641E-02 
357	 3.25614358897434E-02 
358	 4.22389846965197E-02 
359	 4.09712337699784E-02 
360	 0.033920093412171 
361	 3.98464249662934E-02 
362	 3.70707654511985E-02 
363	 3.39810890315359E-02 
364	 3.50332729227359E-02 
365	 3.24390108181261E-02 
366	 0.035101589340952 
367	 3.73640321777692E-02 
368	 3.37110621076651E-02 
369	 3.47884675921338E-02 
370	 3.73891261109408E-02 
371	 3.98453069071855E-02 
372	 4.15121380295833E-02 
373	 0.039313283696249 
374	 3.79231193264711E-02 
375	 3.97341441482655E-02 
376	 4.18434339423439E-02 
377	 0.041375813923781 
378	 3.92593174621546E-02 
379	 3.80390745080173E-02 
380	 4.09501816832768E-02 
381	 4.32661082365225E-02 
382	 4.35383378364337E-02 
383	 4.31759673148159E-02 
384	 4.36871994881747E-02 
385	 4.24694421033396E-02 
386	 3.96437508192598E-02 
387	 0.041740444531895 
388	 0.043195031158743 
389	 4.36370584933756E-02 
390	 4.40799837424275E-02 
391	 4.34912851926036E-02 
392	 4.50113940257109E-02 
393	 4.74372197887544E-02 
394	 4.62915504152547E-02 
395	 4.69499003495478E-02 
396	 4.80561790856826E-02 
397	 4.85482767407891E-02 
398	 5.07551557474683E-02 
399	 5.05900500156533E-02 
400	 5.01591105377882E-02 
401	 5.27485381660141E-02 
402	 5.48700228636803E-02 
403	 0.054627231197043 
404	 5.30652134017694E-02 
405	 0.053831383551553 
406	 5.45433117856583E-02 
407	 5.55563251570597E-02 
408	 5.69551762254369E-02 
409	 5.67308835796282E-02 
410	 5.65780931442397E-02 
411	 5.71401819107278E-02 
412	 0.058352995240114 
413	 5.92356040868925E-02 
414	 5.94525987188137E-02 
415	 5.90635410569743E-02 
416	 0.058461902370814 
417	 5.89690289188608E-02 
418	 5.99196950858837E-02 
419	 6.04850245640683E-02 
420	 6.12382544671072E-02 
421	 6.11848560801176E-02 
422	 6.08294825763783E-02 
423	 6.14680487348382E-02 
424	 6.18128644218666E-02 
425	 6.16168240494042E-02 
426	 0.061339563431374 
427	 6.25983497922259E-02 
428	 6.26201672629893E-02 
429	 0.062058470835583 
430	 6.23116031633625E-02 
431	 6.25022424555899E-02 
432	 6.23518342245632E-02 
433	 6.21489113787075E-02 
434	 6.26379666932479E-02 
435	 6.30111077148049E-02 
436	 0.063343602133713 
437	 6.37284700320876E-02 
438	 6.38022945298871E-02 
439	 6.39850151355834E-02 
440	 6.44403415792843E-02 
441	 6.51081694996743E-02 
442	 0.065328491156264 
443	 6.54176585822698E-02 
444	 6.56196149600885E-02 
445	 6.59177483476135E-02 
446	 6.61181454969046E-02 
447	 6.64333188258576E-02 
448	 6.69939614078168E-02 
449	 6.70281414277074E-02 
450	 6.74263335762544E-02 
451	 6.81041418518894E-02 
452	 6.81638445485697E-02 
453	 6.81089670388235E-02 
454	 6.81739861011987E-02 
455	 6.84704760308749E-02 
456	 6.90198070434414E-02 
457	 6.89940118976196E-02 
458	 6.87726867402377E-02 
459	 0.069157966955236 
460	 6.94786783680731E-02 
461	 6.95466558792406E-02 
462	 0.069486829275495 
463	 6.97868247235654E-02 
464	 7.01858043537208E-02 
465	 7.04554685220092E-02 
466	 7.04787346012005E-02 
467	 0.070550489480996 
468	 7.05107252061324E-02 
469	 7.04888756533696E-02 
470	 7.08016017521523E-02 
471	 0.070765492922194 
472	 7.07267657876793E-02 
473	 7.09472641842487E-02 
474	 0.071088397060599 
475	 7.11119017589833E-02 
476	 7.12049281234214E-02 
477	 7.15735742262285E-02 
478	 7.17309710977741E-02 
479	 7.18009881115513E-02 
480	 7.18431309615742E-02 
481	 7.17390394463272E-02 
482	 7.19534256016464E-02 
483	 7.23024285894534E-02 
484	 7.24680442390842E-02 
485	 7.23972050318394E-02 
486	 7.23755645541422E-02 
487	 7.24126866113216E-02 
488	 7.23043371549153E-02 
489	 7.24095666345262E-02 
490	 0.072662588409579 
491	 7.28954339481914E-02 
492	 7.28775221832386E-02 
493	 7.28605411393208E-02 
494	 7.28322130765701E-02 
495	 7.27226531459904E-02 
496	 7.30259390417923E-02 
497	 7.33092273631748E-02 
498	 7.34257190542148E-02 
499	 7.37964548001506E-02 
500	 7.38574739841104E-02 
501	 7.37495130947471E-02 
502	 7.37559645199086E-02 
503	 0.07378715516191 
504	 7.38234965910354E-02 
505	 7.38770742118571E-02 
506	 0.073984609959745 
507	 7.41039054789426E-02 
508	 7.42143148760923E-02 
509	 7.42945087683594E-02 
510	 7.43171330966442E-02 
511	 7.41895755618228E-02 
512	 7.41214136883909E-02 
513	 7.43986371617236E-02 
514	 0.074421550265714 
515	 0.074466826562898 
516	 0.074657968522731 
517	 7.46877442856622E-02 
518	 7.47003649613628E-02 
519	 7.47342450680105E-02 
520	 7.48051917626045E-02 
521	 7.49866192011779E-02 
522	 7.50999061544763E-02 
523	 7.51055581062188E-02 
524	 7.51217491907989E-02 
525	 7.51367135782302E-02 
526	 7.52117250114525E-02 
527	 7.53627230150721E-02 
528	 7.54316672352646E-02 
529	 7.54796054532795E-02 
530	 7.55355900792601E-02 
531	 7.56026635932499E-02 
532	 7.56236231797236E-02 
533	 7.57259219832096E-02 
534	 7.59249598672826E-02 
535	 7.59498269759926E-02 
536	 7.59560903390294E-02 
537	 7.59907500434555E-02 
538	 0.076055229736188 
539	 7.61070423778738E-02 
540	 0.076216169674832 
541	 7.63851317125551E-02 
542	 7.65207550597997E-02 
543	 7.65221885045459E-02 
544	 7.65631816514795E-02 
545	 7.67809572645147E-02 
546	 7.68388147944338E-02 
547	 7.69235294041836E-02 
548	 7.70808055383432E-02 
549	 7.72242450859959E-02 
550	 0.077320014076275 
551	 7.74081275102858E-02 
552	 7.75453849153163E-02 
553	 7.78169898568874E-02 
554	 7.79482582032197E-02 
555	 7.79824298377378E-02 
556	 0.078119073933927 
557	 7.82763431144423E-02 
558	 7.84550940377111E-02 
559	 7.86542175081194E-02 
560	 7.88651850952813E-02 
561	 7.89443459998708E-02 
562	 7.90440912935364E-02 
563	 7.93472319400796E-02 
564	 7.95888445299289E-02 
565	 7.97915944078395E-02 
566	 8.00383086583424E-02 
567	 8.04541401678141E-02 
568	 8.07869300861256E-02 
569	 8.10290251119687E-02 
570	 8.12421771410627E-02 
571	 8.14932428510425E-02 
572	 8.17569098274426E-02 
573	 8.20424720042138E-02 
574	 8.23718100170852E-02 
575	 8.25890416196337E-02 
576	 8.29050768887923E-02 
577	 0.083396898114289 
578	 8.37156901338162E-02 
579	 8.41071787453268E-02 
580	 8.45305133275589E-02 
581	 8.48453255673383E-02 
582	 8.51082869031622E-02 
583	 8.53547603074848E-02 
584	 8.55965106244196E-02 
585	 8.58103318837272E-02 
586	 8.61639534237293E-02 
587	 8.65454949212129E-02 
588	 8.68257733649534E-02 
589	 8.72036441053579E-02 
590	 8.75367474464334E-02 
591	 8.77962017366804E-02 
592	 8.80653934904052E-02 
593	 0.088307389487686 
594	 8.85225019055392E-02 
595	 8.87485223628087E-02 
596	 8.90995063093947E-02 
597	 8.95676127827438E-02 
598	 9.00651722215585E-02 
599	 9.04809810045731E-02 
600	 9.09506075897594E-02 
601	 0.09135442009899 
