Wavelength	lmw-9-100007.asd
350	 0.110197749142293 
351	 0.109282172884527 
352	 9.73545348610218E-02 
353	 8.17316622441831E-02 
354	 8.57630128893588E-02 
355	 9.34035921469439E-02 
356	 9.51669834618683E-02 
357	 8.85881958616234E-02 
358	 8.74417903153419E-02 
359	 8.52428757500963E-02 
360	 8.54218803323325E-02 
361	 9.55512933498154E-02 
362	 9.33065936105723E-02 
363	 0.087752586773555 
364	 8.59897079147042E-02 
365	 8.58858025939693E-02 
366	 8.47373165045776E-02 
367	 8.35089884713792E-02 
368	 0.083407299159252 
369	 8.18477362167457E-02 
370	 8.26939408521915E-02 
371	 8.42597885076717E-02 
372	 8.17526820142003E-02 
373	 8.17131304934693E-02 
374	 8.22165396928974E-02 
375	 8.19180959494686E-02 
376	 0.082593676634513 
377	 8.00941433795906E-02 
378	 7.84965184998468E-02 
379	 8.17470018191498E-02 
380	 8.27786452031941E-02 
381	 7.99258497168525E-02 
382	 7.74492771286185E-02 
383	 8.24497819381309E-02 
384	 8.19279081622693E-02 
385	 7.99477039208513E-02 
386	 8.00990901353099E-02 
387	 8.01733560731677E-02 
388	 8.06226911153021E-02 
389	 8.06057246084911E-02 
390	 7.94833481645484E-02 
391	 7.90434185681982E-02 
392	 8.00391102413427E-02 
393	 8.18140389761943E-02 
394	 8.26370107322895E-02 
395	 8.21367361257674E-02 
396	 8.17880805772643E-02 
397	 8.23629681153349E-02 
398	 8.24977921445551E-02 
399	 8.24830245774607E-02 
400	 8.34079387661535E-02 
401	 8.56636042549064E-02 
402	 0.08405602266922 
403	 8.34582610317894E-02 
404	 0.084525589211869 
405	 8.32819173677089E-02 
406	 0.084695978372708 
407	 8.65364083804848E-02 
408	 8.64346755942004E-02 
409	 8.50769662498662E-02 
410	 8.43899687007579E-02 
411	 8.46223138373969E-02 
412	 8.51245724713486E-02 
413	 8.56181510745108E-02 
414	 8.55878403012627E-02 
415	 8.51699170929824E-02 
416	 0.085319249609268 
417	 8.46113503071761E-02 
418	 8.39509059339297E-02 
419	 8.42439509881549E-02 
420	 8.46463698927687E-02 
421	 8.37723558309575E-02 
422	 8.26816048034681E-02 
423	 8.35776811851626E-02 
424	 8.27423466914828E-02 
425	 8.18948379907437E-02 
426	 8.19956687163977E-02 
427	 8.14053366103875E-02 
428	 8.04694957530527E-02 
429	 0.080130569409667 
430	 8.09463513122643E-02 
431	 8.05053815530777E-02 
432	 8.02599515697013E-02 
433	 8.06920419584721E-02 
434	 8.11793296774388E-02 
435	 8.17155569674057E-02 
436	 8.22394027483328E-02 
437	 8.27592291447506E-02 
438	 0.083427577043056 
439	 8.42479856438824E-02 
440	 0.085238868066548 
441	 8.63918175320541E-02 
442	 8.74642384996402E-02 
443	 8.87859109406106E-02 
444	 9.03401257594113E-02 
445	 9.15007688047203E-02 
446	 9.29989067602305E-02 
447	 9.43649010540611E-02 
448	 9.51729912875825E-02 
449	 9.66280357654732E-02 
450	 9.84043240603489E-02 
451	 0.100207478662204 
452	 0.101831907347688 
453	 0.10326902939867 
454	 0.104647285531714 
455	 0.10622985108927 
456	 0.108678171509317 
457	 0.110333995303449 
458	 0.111550129942037 
459	 0.113477524743689 
460	 0.115588478655318 
461	 0.117536462197224 
462	 0.119312667100114 
463	 0.121345624254316 
464	 0.123468641247445 
465	 0.125742609801344 
466	 0.128174287380529 
467	 0.130344182166063 
468	 0.132564978675747 
469	 0.134861268401969 
470	 0.137049812310627 
471	 0.139758770295764 
472	 0.142539454866494 
473	 0.145043235194429 
474	 0.147551186004053 
475	 0.150201279946837 
476	 0.152959710804851 
477	 0.155725749421466 
478	 0.158649796484374 
479	 0.161305431669338 
480	 0.163720069027112 
481	 0.166615274459809 
482	 0.169251722857622 
483	 0.171891362399167 
484	 0.174829301100472 
485	 0.177400715524013 
486	 0.179703987187278 
487	 0.181948226518143 
488	 0.184390168639482 
489	 0.186648337593019 
490	 0.188862410673636 
491	 0.191125994278898 
492	 0.193196183315412 
493	 0.195107341732858 
494	 0.19694811863403 
495	 0.198799326969375 
496	 0.200396813441778 
497	 0.201923788592312 
498	 0.203420873193665 
499	 0.204660841528309 
500	 0.205743185067996 
501	 0.206821098921363 
502	 0.207985441539276 
503	 0.209015355347382 
504	 0.209773921111877 
505	 0.210397216688511 
506	 0.211235904783887 
507	 0.211836336430887 
508	 0.212406844208849 
509	 0.213079367928299 
510	 0.213420372688417 
511	 0.213794595425853 
512	 0.214174609844514 
513	 0.21437519542818 
514	 0.214818494443333 
515	 0.215151012203495 
516	 0.215236365603751 
517	 0.215447635770436 
518	 0.215632817427219 
519	 0.215792175463704 
520	 0.215968033569166 
521	 0.216193724761141 
522	 0.21638524123213 
523	 0.216510421987634 
524	 0.216597885889962 
525	 0.216582241553676 
526	 0.216691923185027 
527	 0.21702872078955 
528	 0.217103160391564 
529	 0.217189472969372 
530	 0.217346086839507 
531	 0.217486441015199 
532	 0.217594844320809 
533	 0.217787340701462 
534	 0.218073754370706 
535	 0.218190912243585 
536	 0.218410649127675 
537	 0.218711979990606 
538	 0.218972879664834 
539	 0.21923196483422 
540	 0.219470901398795 
541	 0.219714818212348 
542	 0.220046800013332 
543	 0.22049895586164 
544	 0.220952138450839 
545	 0.221307726516976 
546	 0.221730262121259 
547	 0.222174826256145 
548	 0.222591249134292 
549	 0.222941257963455 
550	 0.223418253163169 
551	 0.223954260288998 
552	 0.2244889219478 
553	 0.225132014489126 
554	 0.225709444494948 
555	 0.226263284273781 
556	 0.226932235884641 
557	 0.227606317633128 
558	 0.228245906943419 
559	 0.228886340489892 
560	 0.229689385047426 
561	 0.230415438862987 
562	 0.231112541460116 
563	 0.231880506606886 
564	 0.232513559006128 
565	 0.233121339634885 
566	 0.23377074356267 
567	 0.234459532112098 
568	 0.235228024972875 
569	 0.23611159185868 
570	 0.237094640978812 
571	 0.238017294284687 
572	 0.238925555768221 
573	 0.239846899531004 
574	 0.240793767444473 
575	 0.241769855333678 
576	 0.242744405792517 
577	 0.243688880805659 
578	 0.244581979594966 
579	 0.24550744648447 
580	 0.246424495138502 
581	 0.247260435613463 
582	 0.248119695049967 
583	 0.24900941996577 
584	 0.249918825811055 
585	 0.250831587644355 
586	 0.251716648217794 
587	 0.252623108139999 
588	 0.253612118620074 
589	 0.254693688050238 
590	 0.255771654811256 
591	 0.256816739046463 
592	 0.257873549392084 
593	 0.259076102843621 
594	 0.260317731570325 
595	 0.26146860027885 
596	 0.262472776322486 
597	 0.263429495960814 
