Wavelength	MM100005.asd
350	 3.96159719626745E-02 
351	 3.77975979881476E-02 
352	 3.62227307660652E-02 
353	 3.26793395865218E-02 
354	 3.38941258412519E-02 
355	 3.74435428941203E-02 
356	 3.78136256264926E-02 
357	 0.032688387754424 
358	 3.47679611487416E-02 
359	 3.45293123975187E-02 
360	 0.032340419749255 
361	 3.43203028813055E-02 
362	 3.10820572116235E-02 
363	 3.30483840649366E-02 
364	 3.99263501914356E-02 
365	 3.04140950429765E-02 
366	 2.98763605994671E-02 
367	 3.48957024860297E-02 
368	 3.63435088234032E-02 
369	 3.63960280351143E-02 
370	 3.45926588538155E-02 
371	 3.32538618468362E-02 
372	 3.57186238881503E-02 
373	 3.41456140524098E-02 
374	 3.32061679707907E-02 
375	 3.51953704647677E-02 
376	 3.57057809200786E-02 
377	 3.33040738733017E-02 
378	 3.16818163699473E-02 
379	 3.43810986795201E-02 
380	 3.74589525039377E-02 
381	 3.72513601104547E-02 
382	 3.59435573485981E-02 
383	 3.93417818937369E-02 
384	 4.06720266483006E-02 
385	 3.95924828029127E-02 
386	 3.78404405425052E-02 
387	 3.92157984600469E-02 
388	 4.06277876605196E-02 
389	 4.07663774645312E-02 
390	 3.96736791701982E-02 
391	 4.06353820786022E-02 
392	 4.15652200239996E-02 
393	 4.17602058697777E-02 
394	 0.041937532446949 
395	 4.23533052141086E-02 
396	 4.36087584467124E-02 
397	 4.53087127290281E-02 
398	 4.46942230544121E-02 
399	 4.55591746016993E-02 
400	 4.70960389249126E-02 
401	 4.71971666767871E-02 
402	 4.67422714963502E-02 
403	 4.64851380470176E-02 
404	 4.67672669482254E-02 
405	 4.75021011386762E-02 
406	 4.83319260015116E-02 
407	 4.92907249829516E-02 
408	 0.050177155306784 
409	 4.98531185218963E-02 
410	 5.00406299953005E-02 
411	 5.02360025321406E-02 
412	 4.93585872394467E-02 
413	 0.050374002995493 
414	 0.050957895658863 
415	 5.04291347151325E-02 
416	 5.07574843912809E-02 
417	 5.10141593226156E-02 
418	 5.11878596577311E-02 
419	 0.051392185583403 
420	 5.14826545703124E-02 
421	 5.12431067805213E-02 
422	 5.10693834939541E-02 
423	 5.15918464374897E-02 
424	 5.14892496450888E-02 
425	 5.12175293454115E-02 
426	 5.11714161502378E-02 
427	 5.12237367310004E-02 
428	 5.12027496827303E-02 
429	 5.09699563444779E-02 
430	 5.05525500367283E-02 
431	 0.050666369148186 
432	 0.050675889851738 
433	 5.04357665649979E-02 
434	 5.03187231080085E-02 
435	 5.00654246197109E-02 
436	 4.99688700771464E-02 
437	 5.01365182850786E-02 
438	 4.99069558866456E-02 
439	 4.98419964578929E-02 
440	 5.00302038974392E-02 
441	 5.02899166201661E-02 
442	 5.03249144092045E-02 
443	 5.05529190277413E-02 
444	 5.09441953930028E-02 
445	 5.06687664255753E-02 
446	 5.09217589825188E-02 
447	 5.14085875384818E-02 
448	 5.15336515946164E-02 
449	 5.13299991198757E-02 
450	 5.16050999019392E-02 
451	 5.21961968381641E-02 
452	 5.21627194931264E-02 
453	 5.22373145189699E-02 
454	 5.23329067787052E-02 
455	 0.052375721923405 
456	 5.26962721718579E-02 
457	 0.052944224659731 
458	 5.29892709066241E-02 
459	 5.28630106796688E-02 
460	 5.29716686738308E-02 
461	 0.052925307019988 
462	 5.27459356524803E-02 
463	 5.31355605705707E-02 
464	 5.32337552365516E-02 
465	 5.32057910379194E-02 
466	 5.33546941795322E-02 
467	 5.33228012063248E-02 
468	 0.053211045258793 
469	 5.31867863007173E-02 
470	 5.34295443344831E-02 
471	 5.36007020990273E-02 
472	 5.36598956249436E-02 
473	 0.053635496352921 
474	 0.053573060634453 
475	 5.34788778165637E-02 
476	 5.34240668186527E-02 
477	 0.053470840329025 
478	 5.34048602627911E-02 
479	 0.053473625144539 
480	 0.053680553195336 
481	 5.36386802641527E-02 
482	 5.37693976655814E-02 
483	 0.053930716540921 
484	 5.39007702717303E-02 
485	 5.37732389625116E-02 
486	 5.37564102772817E-02 
487	 5.38276619924199E-02 
488	 5.37870650588728E-02 
489	 5.38981339823143E-02 
490	 5.39426279359621E-02 
491	 5.38267599437716E-02 
492	 5.39969562106996E-02 
493	 5.38867852057841E-02 
494	 5.36881849619901E-02 
495	 5.38759187843418E-02 
496	 5.41534313646749E-02 
497	 5.41521646930626E-02 
498	 5.39259986775724E-02 
499	 5.41583763262528E-02 
500	 5.42071231919182E-02 
501	 5.41689418928171E-02 
502	 5.42566839097549E-02 
503	 5.41962124015228E-02 
504	 5.41158062304949E-02 
505	 5.41255993156374E-02 
506	 5.42905230160067E-02 
507	 5.43290835227044E-02 
508	 5.43310804208964E-02 
509	 5.43987377213524E-02 
510	 5.44815483412082E-02 
511	 0.054383506185773 
512	 0.054243713966356 
513	 5.43295425523373E-02 
514	 5.42671388326055E-02 
515	 5.42360691549848E-02 
516	 5.43480236297926E-02 
517	 5.45186518080084E-02 
518	 5.44579612095783E-02 
519	 5.43329869352564E-02 
520	 5.44016259265776E-02 
521	 5.45030826766118E-02 
522	 5.45510589314002E-02 
523	 5.45616588008303E-02 
524	 5.46501663210817E-02 
525	 5.46773477709476E-02 
526	 0.054666787903121 
527	 5.46703625253428E-02 
528	 5.47077420083635E-02 
529	 5.47392448563218E-02 
530	 5.47822792956695E-02 
531	 5.48854739717775E-02 
532	 5.49945515877095E-02 
533	 0.055097479968589 
534	 5.51818212466169E-02 
535	 5.52110521724457E-02 
536	 5.52654471229456E-02 
537	 5.53728877779211E-02 
538	 5.55188482344149E-02 
539	 5.55809201109695E-02 
540	 0.055604200309203 
541	 5.56553947576601E-02 
542	 5.58111998845946E-02 
543	 5.59391393874239E-02 
544	 5.60410948123193E-02 
545	 5.61573668985763E-02 
546	 5.63217373315153E-02 
547	 0.05646420637609 
548	 5.66077574265782E-02 
549	 5.68468040680722E-02 
550	 5.70315244230659E-02 
551	 5.71746005745106E-02 
552	 5.73316720123364E-02 
553	 5.75939009472791E-02 
554	 5.78214939851373E-02 
555	 5.80440967050322E-02 
556	 5.83641979791898E-02 
557	 5.86662277932931E-02 
558	 5.89765957112622E-02 
559	 5.93298358403676E-02 
560	 5.97542319779904E-02 
561	 6.01226995853311E-02 
562	 6.04719902496241E-02 
563	 6.08972042037514E-02 
564	 6.14692105302918E-02 
565	 6.19653558534291E-02 
566	 6.23950228142185E-02 
567	 6.30391409343798E-02 
568	 6.36469115288898E-02 
569	 6.42534590162169E-02 
570	 6.49294699749762E-02 
571	 6.56378327985953E-02 
572	 0.066333793120682 
573	 6.70483149083925E-02 
574	 6.78519661045377E-02 
575	 0.068592938223687 
576	 6.93758896395212E-02 
577	 7.02580224191653E-02 
578	 7.10971029224707E-02 
579	 7.20296261792723E-02 
580	 7.30312928618081E-02 
581	 7.40273814322815E-02 
582	 7.51055468274614E-02 
583	 7.62204317916595E-02 
584	 7.73362781823492E-02 
585	 7.84522867252244E-02 
586	 7.95616991049942E-02 
587	 8.06656438572163E-02 
588	 8.17799543583204E-02 
589	 8.29796285886955E-02 
590	 8.41642955445044E-02 
591	 8.53183910790681E-02 
592	 8.65088177690148E-02 
593	 8.76890210891906E-02 
594	 8.88469695934457E-02 
595	 8.99830714690683E-02 
596	 9.11134730371063E-02 
597	 9.22705646294745E-02 
598	 9.34556685471167E-02 
599	 0.094648198909212 
600	 9.57756825711829E-02 
601	 9.68505155435733E-02 
602	 9.78842160665138E-02 
603	 9.88688132759582E-02 
604	 9.98175410388539E-02 
605	 0.100764127461959 
606	 0.101732298327401 
607	 0.10265775328294 
608	 0.103524497756743 
609	 0.104358440065303 
610	 0.105228683950419 
611	 0.106046164506098 
612	 0.106819086998991 
613	 0.107564402637487 
614	 0.108256161962577 
615	 0.108901856095154 
616	 0.109497837466474 
617	 0.110033940139584 
618	 0.110544484944412 
619	 0.111036958262599 
620	 0.111510335656157 
621	 0.11194856027067 
622	 0.112401496091152 
623	 0.112859358182482 
624	 0.113290044628097 
625	 0.113698447849384 
626	 0.114080917750954 
627	 0.114434057723976 
628	 0.114753922753519 
629	 0.11515026924753 
630	 0.115531915902909 
631	 0.11581429536212 
632	 0.116173589769906 
633	 0.116487894945638 
634	 0.116772322256024 
635	 0.11714851163232 
636	 0.117489903442296 
637	 0.117806021034554 
638	 0.118120031422136 
639	 0.118427376232327 
640	 0.118727240782987 
641	 0.119038141641321 
642	 0.11938444464102 
643	 0.119771342443991 
644	 0.120111983019893 
645	 0.120395844520991 
646	 0.120732467870765 
647	 0.121087045045416 
648	 0.121456782353787 
649	 0.121836141595375 
650	 0.122177616414519 
651	 0.122542560545106 
652	 0.122919824507176 
653	 0.123243090753776 
654	 0.123676113814727 
655	 0.124097787377543 
656	 0.124430478184067 
657	 0.124830587091068 
658	 0.125272871288485 
659	 0.125733069031492 
660	 0.126184180347776 
661	 0.126621814724608 
662	 0.127098299289417 
663	 0.127609727491231 
664	 0.128063103408813 
665	 0.128518570946781 
666	 0.12901432617412 
667	 0.129558273564445 
668	 0.130053408950959 
669	 0.130593793419982 
670	 0.131168359605629 
671	 0.131681417596814 
672	 0.132252381568549 
673	 0.132847677104847 
674	 0.133435772110718 
675	 0.134060692713447 
676	 0.1346525465474 
677	 0.135228057386207 
678	 0.135838695180213 
679	 0.136479939858652 
680	 0.137126624297894 
681	 0.13778792993972 
682	 0.138522428774428 
683	 0.139212597150566 
684	 0.139870204654683 
685	 0.140544897920771 
686	 0.14128242682057 
687	 0.142055653148282 
688	 0.142824743187275 
689	 0.143548551934694 
690	 0.144269677981983 
691	 0.14497498245004 
692	 0.145690375887095 
693	 0.146550237814821 
694	 0.147333539676459 
695	 0.148088407110862 
696	 0.148926672041293 
697	 0.149709056882466 
698	 0.150514442887495 
699	 0.151355839289443 
700	 0.152165127517084 
701	 0.152969208932827 
702	 0.153784708919649 
703	 0.154618548336196 
704	 0.155458214306637 
705	 0.156289951280268 
706	 0.157109709903627 
707	 0.157917492972005 
708	 0.158688221413876 
709	 0.159523586889964 
710	 0.160429105660998 
711	 0.161258574879219 
712	 0.162022908674478 
713	 0.162772164425039 
714	 0.16355972463507 
715	 0.164396225096756 
716	 0.165174688059089 
717	 0.165910145315813 
718	 0.166696677968325 
719	 0.167425530590953 
720	 0.168116747038441 
721	 0.168793511500925 
722	 0.169444539095225 
723	 0.170112231357184 
724	 0.170801944006275 
725	 0.171484455380218 
726	 0.172036445373314 
727	 0.172586332180928 
728	 0.173163668467099 
729	 0.17369549205824 
730	 0.174221493167874 
731	 0.174681919309268 
732	 0.175064132021089 
733	 0.175511778119319 
734	 0.175909885285022 
735	 0.176248018925433 
736	 0.176560575787585 
737	 0.176874389492786 
738	 0.177155042440508 
739	 0.177391472485813 
740	 0.177602595751052 
