Wavelength	LMW_1100001.asd
350	 4.88633211098814E-02 
351	 5.18233676947639E-02 
352	 4.73546558827258E-02 
353	 3.96003935305997E-02 
354	 4.90581708540065E-02 
355	 4.72558847748422E-02 
356	 3.80670895051061E-02 
357	 3.27184965417859E-02 
358	 3.61585885275368E-02 
359	 3.60397496075391E-02 
360	 3.32732181619652E-02 
361	 3.66127966305212E-02 
362	 3.81849891418421E-02 
363	 3.89457781970159E-02 
364	 3.86698884924614E-02 
365	 3.31224523285968E-02 
366	 3.12394691133345E-02 
367	 3.32735191573985E-02 
368	 3.67631343421587E-02 
369	 4.03962882522255E-02 
370	 3.99110993605935E-02 
371	 3.70603140504326E-02 
372	 3.72925585044939E-02 
373	 3.75850034815647E-02 
374	 3.94771556823484E-02 
375	 4.28537081515679E-02 
376	 4.40811041088044E-02 
377	 4.15068355953396E-02 
378	 3.89025920724168E-02 
379	 4.00116613618383E-02 
380	 4.06118463808598E-02 
381	 4.20196344017969E-02 
382	 4.34255134143111E-02 
383	 4.25926076902577E-02 
384	 4.15815844064317E-02 
385	 4.08060330602167E-02 
386	 4.05994853932958E-02 
387	 4.16808477182846E-02 
388	 4.34982731008384E-02 
389	 4.39781597168815E-02 
390	 4.19086548443274E-02 
391	 0.042153379891391 
392	 4.24437266649171E-02 
393	 4.23458309184715E-02 
394	 0.043179981114912 
395	 4.43905837297227E-02 
396	 4.56770926752241E-02 
397	 4.64965001097343E-02 
398	 4.54734410621986E-02 
399	 4.53352535008795E-02 
400	 4.62786903868235E-02 
401	 4.74531377829319E-02 
402	 4.83827610703855E-02 
403	 4.85532880635668E-02 
404	 4.80488343517046E-02 
405	 4.75237952346702E-02 
406	 4.73151772788661E-02 
407	 4.83247645857112E-02 
408	 5.01673297122485E-02 
409	 4.90282947217623E-02 
410	 4.76179895583093E-02 
411	 4.71143756207409E-02 
412	 4.77086047261984E-02 
413	 4.84317407839726E-02 
414	 4.82623706889547E-02 
415	 4.75502772318175E-02 
416	 4.83291520889938E-02 
417	 4.81705365597014E-02 
418	 4.82738651925869E-02 
419	 4.95824514312927E-02 
420	 4.92316163168701E-02 
421	 4.82359877708725E-02 
422	 4.78747957766897E-02 
423	 4.91722469937267E-02 
424	 4.89599882625739E-02 
425	 4.87431875537537E-02 
426	 4.92840243765582E-02 
427	 4.88926917127206E-02 
428	 4.83246609924789E-02 
429	 4.79411105833062E-02 
430	 4.79288703013031E-02 
431	 4.82845591492451E-02 
432	 4.79588392821861E-02 
433	 4.72936617558542E-02 
434	 4.78851529253362E-02 
435	 4.79466118269451E-02 
436	 4.75883433559884E-02 
437	 4.72765015496392E-02 
438	 4.73951179087737E-02 
439	 4.75208987246861E-02 
440	 4.75985997869102E-02 
441	 4.77208539750872E-02 
442	 4.75219657454758E-02 
443	 4.75489779058353E-02 
444	 0.04788918500511 
445	 0.04781363239072 
446	 4.79798375000026E-02 
447	 0.048137699025144 
448	 4.79521457041176E-02 
449	 4.78084913438499E-02 
450	 4.79712660985015E-02 
451	 4.83589461446335E-02 
452	 0.048608150730133 
453	 4.86938804364819E-02 
454	 4.86268824259255E-02 
455	 4.84792639747252E-02 
456	 0.048404732639273 
457	 4.85419193065175E-02 
458	 4.86652965701136E-02 
459	 4.84935359986366E-02 
460	 4.87577024558843E-02 
461	 4.88053234230217E-02 
462	 4.85185741664039E-02 
463	 4.86943094108315E-02 
464	 4.86032221258186E-02 
465	 4.84285527924249E-02 
466	 4.85168197210793E-02 
