Wavelength	LMW_13_a00006.asd
350	 5.85758240335614E-02 
351	 5.87342676075495E-02 
352	 5.13225774305809E-02 
353	 4.39932435826997E-02 
354	 4.38692365197786E-02 
355	 4.51140957088694E-02 
356	 4.62990469117074E-02 
357	 4.75749105699596E-02 
358	 5.14349021492334E-02 
359	 4.64236369204367E-02 
360	 3.92630189304804E-02 
361	 4.56778560541308E-02 
362	 4.23183551409278E-02 
363	 4.02303111454955E-02 
364	 4.40705258099589E-02 
365	 4.19521743896385E-02 
366	 4.01907612956058E-02 
367	 3.83098870105544E-02 
368	 3.63695860160042E-02 
369	 4.45917301875741E-02 
370	 4.55666243904228E-02 
371	 4.05158681141583E-02 
372	 4.26466808270903E-02 
373	 4.26719629407976E-02 
374	 4.26659199864692E-02 
375	 0.044230274414807 
376	 4.60987641994539E-02 
377	 4.18738393050655E-02 
378	 3.79122760050689E-02 
379	 4.13246930732944E-02 
380	 4.53790451722459E-02 
381	 4.56731345434848E-02 
382	 4.36774265839826E-02 
383	 4.49386964900295E-02 
384	 4.75432162196361E-02 
385	 4.89290580568623E-02 
386	 4.86715028173349E-02 
387	 0.050668809146259 
388	 5.09550136638552E-02 
389	 5.04631362559104E-02 
390	 5.10318335962989E-02 
391	 5.08356759292262E-02 
392	 5.12488659533613E-02 
393	 5.20921209483133E-02 
394	 5.20123778365954E-02 
395	 0.054742960378073 
396	 5.69550744875675E-02 
397	 5.67134771705853E-02 
398	 5.73657037636123E-02 
399	 5.87045971907321E-02 
400	 6.02557912158044E-02 
401	 6.13511913624561E-02 
402	 6.15897023176259E-02 
403	 6.13212265927745E-02 
404	 6.10731431800158E-02 
405	 6.14534953730755E-02 
406	 6.25957801090467E-02 
407	 6.40184181254365E-02 
408	 6.49294853735628E-02 
409	 6.38210260442194E-02 
410	 0.063678798831766 
411	 6.41578089632687E-02 
412	 0.063638947535973 
413	 6.37069133797768E-02 
414	 6.41776021396048E-02 
415	 6.45697298795814E-02 
416	 6.42474063801996E-02 
417	 6.37392562333101E-02 
418	 6.31558922313175E-02 
419	 6.25564205461663E-02 
420	 0.062263112568838 
421	 6.13101177363366E-02 
422	 0.060561985820927 
423	 6.16221708281403E-02 
424	 6.03391614050432E-02 
425	 5.91405953045301E-02 
426	 5.93303721461607E-02 
427	 5.86613718832328E-02 
428	 5.82095969640263E-02 
429	 0.057847827163313 
430	 5.72794324885906E-02 
431	 5.72026062353197E-02 
432	 5.71693882737462E-02 
433	 5.72125543974767E-02 
434	 5.78412145032714E-02 
435	 5.84144357605157E-02 
436	 5.90718364961295E-02 
437	 5.98783949542987E-02 
438	 6.02293067052633E-02 
439	 6.09128364229903E-02 
440	 6.20329460861886E-02 
441	 6.32783398775791E-02 
442	 6.40576766923345E-02 
443	 6.49825202828534E-02 
444	 6.62249817564028E-02 
445	 0.067122304235114 
446	 6.79863212927115E-02 
447	 6.89918862385252E-02 
448	 7.01960513170337E-02 
449	 7.13332134775237E-02 
450	 7.24419881041738E-02 
451	 7.34660655492647E-02 
452	 7.42860484251178E-02 
453	 7.51806242026326E-02 
454	 7.61091885412797E-02 
455	 7.70194310514695E-02 
456	 7.79889222302076E-02 
457	 7.89779304821687E-02 
458	 8.00048884687005E-02 
459	 8.10835503885487E-02 
460	 0.082021353238783 
461	 8.26985014404198E-02 
462	 8.33144160933032E-02 
463	 8.44944254754448E-02 
464	 8.55001369436628E-02 
465	 8.63480044229035E-02 
466	 8.72376861989129E-02 
467	 8.82204829138048E-02 
468	 8.89740881366155E-02 
469	 0.089549905167643 
470	 9.02921610904537E-02 
471	 9.10654225874202E-02 
472	 9.18703509875678E-02 
473	 9.27269054462733E-02 
474	 9.36810112872087E-02 
475	 9.44759901308306E-02 
476	 9.51101499391816E-02 
477	 9.56971019666212E-02 
478	 9.61981369278553E-02 
479	 9.69003377182901E-02 
480	 9.77709049629787E-02 
481	 9.83097536130552E-02 
482	 9.89064569861743E-02 
483	 9.95438356701093E-02 
484	 0.100128671671286 
485	 0.100740780792191 
486	 0.101262570793656 
487	 0.10165364124285 
488	 0.101961274864169 
489	 0.102504606746689 
490	 0.103023766497809 
491	 0.10335151880849 
492	 0.103814901576162 
493	 0.104193694360353 
494	 0.104534337956146 
495	 0.104962809338528 
496	 0.105226583541262 
497	 0.105364519910967 
498	 0.105499467343168 
499	 0.105835386257207 
500	 0.106157049426968 
501	 0.106410965157887 
502	 0.106591180077995 
503	 0.106658384319549 
504	 0.106797606547029 
505	 0.106991894575084 
506	 0.107049223634926 
507	 0.107209684275018 
508	 0.107444623738391 
509	 0.10765664429649 
510	 0.107713786101977 
511	 0.107704732378772 
512	 0.10772343029508 
513	 0.107844359072981 
514	 0.107948567649611 
515	 0.107946728463014 
516	 0.107900633005053 
517	 0.108134113848234 
518	 0.108222609192764 
519	 0.108219427058868 
520	 0.108291469612304 
521	 0.108299551431431 
522	 0.108365286078266 
523	 0.108476456295357 
524	 0.108472722254054 
525	 0.108512085867247 
526	 0.108586814224533 
527	 0.108650887004843 
528	 0.10864785385689 
529	 0.108734760762645 
530	 0.108868966506325 
531	 0.108892498180988 
532	 0.108966225047054 
533	 0.10903145155404 
534	 0.109054368014692 
535	 0.109119611118806 
536	 0.109151882421338 
537	 0.109218541561324 
538	 0.10940586866702 
539	 0.109546689413184 
540	 0.109605611735632 
541	 0.109644080875476 
542	 0.109833271501494 
543	 0.110024498374708 
544	 0.110177397768738 
545	 0.110301708056275 
546	 0.110487131258607 
547	 0.110630149593142 
548	 0.110726455513105 
549	 0.11085382471493 
550	 0.11087809320469 
551	 0.110966900441204 
552	 0.111222460119846 
553	 0.11144633074619 
554	 0.111670536240316 
555	 0.111892071754601 
556	 0.112090643423718 
557	 0.112219479343447 
558	 0.112365926977626 
559	 0.112602983948887 
560	 0.112964029766187 
561	 0.11330763478849 
562	 0.11359398926918 
563	 0.113832417460986 
564	 0.11405867995495 
565	 0.114330109202388 
566	 0.114650478822493 
567	 0.114964462396259 
568	 0.115355592609178 
569	 0.115741620464636 
570	 0.116035797214376 
571	 0.116250359734757 
572	 0.116583847605449 
573	 0.117024029159433 
574	 0.117409590471247 
575	 0.117764354647852 
576	 0.118208606176405 
577	 0.118765411448379 
578	 0.11920303269755 
579	 0.119699165458614 
580	 0.120249501734683 
581	 0.120785610349185 
582	 0.121381013519886 
583	 0.12184316705419 
584	 0.122143219122984 
585	 0.122509585398119 
586	 0.122946768900937 
587	 0.123434259594748 
588	 0.12395540559704 
589	 0.124595734652363 
590	 0.12525273738383 
591	 0.125836340122368 
592	 0.126289100486227 
593	 0.126761106743541 
594	 0.127346423004713 
595	 0.128069854790952 
596	 0.128853194831544 
597	 0.129471651189153 
598	 0.129972238372439 
599	 0.13053953547658 
600	 0.131048478082517 
601	 0.131449420147877 
602	 0.131788795795151 
603	 0.132273930365607 
604	 0.132778552794945 
605	 0.133268063359382 
606	 0.133754237797013 
607	 0.134340502736382 
608	 0.134900655174428 
609	 0.135374551900533 
610	 0.135794921576243 
611	 0.136140489936546 
612	 0.136491077488024 
613	 0.136894470527124 
614	 0.137220723071188 
615	 0.137500216533526 
616	 0.137778168216817 
617	 0.138103983908793 
618	 0.138470839248631 
619	 0.138774635212735 
620	 0.138985775685814 
621	 0.139265440226096 
622	 0.139499305361305 
623	 0.139723273289516 
624	 0.140006558012228 
625	 0.140219582817438 
626	 0.140449454901177 
627	 0.140726539380457 
628	 0.140984674323257 
629	 0.141205646421434 
630	 0.141403757901761 
631	 0.141604626555951 
632	 0.141829701193851 
633	 0.142040050356536 
634	 0.142210689318922 
635	 0.142340450797774 
636	 0.142588241270624 
637	 0.14283409926364 
638	 0.1429902815212 
639	 0.143170593640661 
640	 0.143351374536003 
641	 0.143552924713932 
642	 0.143798483111453 
643	 0.14400279575279 
644	 0.144196085261571 
645	 0.144394692962814 
646	 0.144577455740674 
647	 0.144761992741124 
648	 0.144925792498098 
649	 0.145057244414043 
650	 0.145233587377401 
651	 0.145435617768603 
652	 0.145654471707277 
653	 0.145891418097082 
654	 0.14612333279986 
655	 0.146325669014537 
656	 0.146493383236198 
657	 0.14666310919802 
658	 0.146836685750276 
659	 0.147038124366062 
660	 0.147285843583268 
661	 0.147495281735433 
662	 0.147663171874989 
663	 0.147820911528999 
664	 0.148033912430042 
665	 0.148340651620936 
666	 0.148588360659317 
667	 0.148668988682283 
668	 0.148889874436709 
669	 0.149136514764797 
670	 0.149351060847562 
671	 0.149535351751358 
672	 0.149720414881558 
673	 0.149968896724177 
674	 0.150263986475303 
675	 0.150378272219984 
676	 0.150573159294632 
677	 0.150840270446822 
678	 0.151067851075519 
679	 0.151322186695497 
680	 0.151559941976796 
681	 0.151762177326526 
682	 0.151951928290533 
683	 0.15218114542054 
684	 0.15242369193104 
685	 0.152647017555231 
686	 0.15287648615143 
687	 0.153141364066393 
688	 0.153415842251643 
689	 0.153638891626075 
690	 0.153832096459497 
691	 0.154034869183094 
692	 0.154269171646125 
693	 0.154522475370704 
694	 0.154739018876541 
695	 0.1549727052997 
696	 0.155283711705304 
697	 0.155531060930092 
698	 0.155724710904363 
699	 0.155914143513562 
700	 0.156175202163392 
701	 0.156414152713546 
702	 0.156636143879582 
703	 0.156859087510615 
704	 0.157067328653257 
705	 0.157330029166617 
706	 0.15758722200306 
707	 0.157737395824551 
708	 0.157941709627082 
709	 0.158188102346733 
710	 0.158433255409363 
711	 0.158617672892899 
712	 0.158824465983752 
713	 0.159030112322269 
714	 0.159197175995378 
715	 0.159345144586177 
716	 0.15954720429992 
717	 0.159768510627382 
718	 0.159904708655585 
719	 0.160037544349148 
720	 0.160182130907392 
721	 0.160334058853027 
722	 0.160468026140479 
723	 0.160642249387785 
724	 0.160802790044027 
725	 0.160879060026017 
726	 0.160912964809067 
727	 0.161025041328357 
728	 0.161162393575406 
729	 0.161126963386895 
730	 0.161162974982707 
731	 0.161275211395123 
732	 0.161385901548507 
733	 0.16131679716229 
734	 0.161339010316864 
735	 0.161382628207131 
736	 0.16128426421115 
737	 0.161250176829145 
738	 0.161226985510144 
739	 0.161185291054218 
740	 0.161141867471441 
741	 0.161083824887939 
742	 0.160995863476201 
743	 0.160868124455624 
744	 0.160696305245122 
745	 0.160559679137556 
746	 0.160465079678005 
747	 0.160363987479789 
748	 0.160112610420378 
749	 0.159873725583964 
750	 0.159721605112585 
751	 0.159588290508139 
752	 0.159390927190526 
753	 0.159156435659443 
754	 0.158921099470788 
755	 0.158651430440141 
756	 0.158423123696118 
757	 0.158202921557668 
758	 0.157917018685591 
759	 0.157654777118185 
760	 0.157339864014624 
761	 0.156993779390386 
762	 0.156772440715123 
763	 0.156474626734806 
764	 0.156146946154594 
765	 0.155860584295058 
766	 0.155582184944302 
767	 0.155271236794408 
768	 0.154922884145523 
769	 0.154560868056465 
770	 0.154253530614009 
771	 0.15394388669952 
772	 0.153604950611379 
773	 0.153260132522578 
774	 0.152893384221273 
775	 0.15255654016548 
776	 0.152266158177044 
777	 0.1519039034619 
778	 0.151548465169437 
779	 0.151239350355893 
780	 0.150978235527761 
781	 0.150669801347263 
782	 0.150278290741535 
783	 0.149853067768435 
784	 0.149520448745461 
785	 0.149219048690442 
786	 0.148883134525968 
787	 0.148502752655612 
788	 0.14820520863319 
789	 0.14788759847138 
