Wavelength	MM_3500008.asd
350	 3.73169445440679E-02 
351	 3.69249876528659E-02 
352	 3.37213216993697E-02 
353	 2.90045460858497E-02 
354	 3.14247970701318E-02 
355	 3.96161197774205E-02 
356	 4.12123174583943E-02 
357	 3.10113057681464E-02 
358	 4.12120286150276E-02 
359	 4.06272546161596E-02 
360	 3.00401382801174E-02 
361	 3.03752982343465E-02 
362	 3.25646304809092E-02 
363	 3.35626958616528E-02 
364	 3.28282557270888E-02 
365	 3.25983868436279E-02 
366	 3.11181110428435E-02 
367	 2.91789322869845E-02 
368	 2.87683800864854E-02 
369	 0.034402917364354 
370	 0.035664469140673 
371	 3.35841827978189E-02 
372	 3.62371240257269E-02 
373	 3.35678378004521E-02 
374	 3.20161458658752E-02 
375	 3.52826642296086E-02 
376	 3.92721692649191E-02 
377	 3.92228507375695E-02 
378	 3.74988959262459E-02 
379	 3.71675247193204E-02 
380	 0.03282521458077 
381	 3.27554664392885E-02 
382	 3.74627373658222E-02 
383	 4.11002494423949E-02 
384	 4.17781150394096E-02 
385	 4.01660271811155E-02 
386	 3.83638477388297E-02 
387	 4.04644817813081E-02 
388	 4.00546125140255E-02 
389	 3.83671982614311E-02 
390	 0.03843410371086 
391	 3.88779553853518E-02 
392	 4.05244084647405E-02 
393	 4.28817902669167E-02 
394	 4.43319025622822E-02 
395	 0.043293448251484 
396	 4.32510765617879E-02 
397	 0.046069013042954 
398	 0.04902531685803 
399	 4.79071155160059E-02 
400	 4.68937240994854E-02 
401	 5.09218840458955E-02 
402	 5.00390244862558E-02 
403	 4.85762231813367E-02 
404	 4.90607044577922E-02 
405	 5.11832354635542E-02 
406	 0.052410990871281 
407	 5.31117948815935E-02 
408	 5.35981663710344E-02 
409	 5.20168482806498E-02 
410	 5.21579352565641E-02 
411	 5.38062246170975E-02 
412	 5.48890100447868E-02 
413	 5.51737495421961E-02 
414	 5.52570224074931E-02 
415	 5.54836007944775E-02 
416	 5.57739288793872E-02 
417	 5.51951006579733E-02 
418	 5.52492962122772E-02 
419	 5.67839901231415E-02 
420	 5.65583753120757E-02 
421	 5.58038538523015E-02 
422	 5.54565409470998E-02 
423	 5.59879007412454E-02 
424	 5.55725561884622E-02 
425	 5.54446824011407E-02 
426	 5.59228090260557E-02 
427	 5.48617545132543E-02 
428	 5.45981144735937E-02 
429	 0.054735744894605 
430	 5.43220635808782E-02 
431	 5.43872719406295E-02 
432	 5.40292904206207E-02 
433	 5.34017758764877E-02 
434	 5.36760951798936E-02 
435	 5.39449521863232E-02 
436	 5.40677874159171E-02 
437	 5.40659401685233E-02 
438	 5.38930616995739E-02 
439	 5.41727431952219E-02 
440	 0.054819506784804 
441	 5.53734105788256E-02 
442	 5.56228179199418E-02 
443	 5.57312506886313E-02 
444	 5.58726771019675E-02 
445	 5.61755994194174E-02 
446	 5.62863011804388E-02 
447	 5.65617746501142E-02 
448	 5.72672341955721E-02 
449	 5.73741839277154E-02 
450	 5.76965668606697E-02 
451	 5.82808664310098E-02 
452	 5.85049451986466E-02 
453	 5.85989188532164E-02 
454	 0.058760156391024 
455	 5.90395682179318E-02 
456	 5.91169994372679E-02 
457	 5.94103605634316E-02 
458	 5.96837581549171E-02 
459	 5.95403345099376E-02 
460	 5.98031619501711E-02 
461	 0.05987359651185 
462	 0.059633059826191 
463	 5.97938198190841E-02 
464	 6.02610676701757E-02 
465	 6.07147250019202E-02 
466	 6.08530012418668E-02 
467	 6.07653344821724E-02 
468	 6.07028893739612E-02 
469	 6.07294629531976E-02 
470	 6.07590943107056E-02 
471	 6.09950039689184E-02 
472	 6.10486849336414E-02 
473	 6.08462885850879E-02 
474	 0.061337919017761 
475	 6.14404746241109E-02 
476	 6.11851614900898E-02 
477	 6.10845216981782E-02 
478	 6.12200154414273E-02 
479	 6.14085524616119E-02 
480	 6.14861556523116E-02 
481	 6.13408336803099E-02 
482	 6.17151141267505E-02 
483	 6.20373189077623E-02 
484	 6.17274267708258E-02 
485	 6.17300138165712E-02 
486	 6.17636243162418E-02 
487	 6.17434074280439E-02 
488	 0.061768047785863 
489	 6.18062117876288E-02 
490	 6.18730635962428E-02 
491	 6.19465251353677E-02 
492	 6.18842123197271E-02 
493	 0.061884070848566 
494	 6.19012581265235E-02 
495	 6.18357939581772E-02 
496	 6.21437490765673E-02 
497	 0.062250929090179 
498	 6.20595724037761E-02 
499	 6.23217152682064E-02 
500	 6.23443500109486E-02 
501	 6.22515568862782E-02 
502	 6.23132951085929E-02 
503	 6.23417101827931E-02 
504	 6.23170317136423E-02 
505	 6.22996603808382E-02 
506	 6.24050818201403E-02 
507	 6.24095501895123E-02 
508	 0.062454843473651 
509	 6.26156868368141E-02 
510	 6.25866061751122E-02 
511	 0.062628497934818 
512	 6.26656424736739E-02 
513	 6.24957112350927E-02 
514	 6.24790900106259E-02 
515	 6.25883178547398E-02 
516	 6.27217320362028E-02 
517	 6.27304973473742E-02 
518	 6.27699610185907E-02 
519	 6.28254504597671E-02 
520	 6.28334414937151E-02 
521	 6.27698550911469E-02 
522	 6.27843631501695E-02 
523	 6.28548578057279E-02 
524	 6.27780234156537E-02 
525	 6.28672018349853E-02 
526	 6.29516455694338E-02 
527	 6.28838618918083E-02 
528	 6.29402422173366E-02 
529	 6.30102194853496E-02 
530	 0.063010323071088 
531	 6.29047318115889E-02 
532	 6.29902189756447E-02 
533	 6.31235892268338E-02 
534	 6.31708780066678E-02 
535	 6.31365870393444E-02 
536	 6.31710260297514E-02 
537	 6.32883472081194E-02 
538	 6.34283765076979E-02 
539	 0.063477371038495 
540	 6.34827395536392E-02 
541	 6.35023748919509E-02 
542	 6.35898341549201E-02 
543	 6.36107760839372E-02 
544	 6.36517702349411E-02 
545	 6.37899895217913E-02 
546	 6.38089104259144E-02 
547	 6.38333827305756E-02 
548	 6.39316218985955E-02 
549	 6.41048898854253E-02 
550	 6.41637791765522E-02 
551	 6.41945264020632E-02 
552	 6.42922501615771E-02 
553	 6.44368033211587E-02 
554	 6.45845811041247E-02 
555	 6.47334026073011E-02 
556	 0.064896074838965 
