Wavelength	mm1200002.asd
350	 2.31799108614686E-02 
351	 2.66459309745968E-02 
352	 0.026532012608164 
353	 1.70520427735207E-02 
354	 3.05014429970665E-02 
355	 3.14621397391705E-02 
356	 2.76782268909704E-02 
357	 0.032473578225113 
358	 3.63619602618767E-02 
359	 2.98117602883387E-02 
360	 2.00076680129911E-02 
361	 2.27516498899295E-02 
362	 2.47991556517228E-02 
363	 2.60886417329218E-02 
364	 0.026299649595651 
365	 0.02141229357342 
366	 2.45927158598617E-02 
367	 2.90776772091379E-02 
368	 2.70672071198289E-02 
369	 0.030281514656355 
370	 2.85918754788296E-02 
371	 2.40188694219484E-02 
372	 0.026208460863243 
373	 2.70875725707055E-02 
374	 2.96825537180759E-02 
375	 3.37328990051789E-02 
376	 3.07315077315055E-02 
377	 2.85862624135838E-02 
378	 3.03158314263158E-02 
379	 3.53762187200983E-02 
380	 0.035837387653126 
381	 3.35932227078094E-02 
382	 3.21421467596731E-02 
383	 3.50809675704312E-02 
384	 3.59002118920989E-02 
385	 3.47426706682607E-02 
386	 3.40566979297188E-02 
387	 3.90838096266851E-02 
388	 4.06470928963549E-02 
389	 4.05896030164401E-02 
390	 4.27907928899449E-02 
391	 4.24375889915438E-02 
392	 4.29966211174052E-02 
393	 4.55977110668577E-02 
394	 4.88816984396123E-02 
395	 4.93033561274509E-02 
396	 4.83664414959818E-02 
397	 4.82024854562864E-02 
398	 5.05104531664296E-02 
399	 5.24779559360578E-02 
400	 5.34656069327835E-02 
401	 5.39478968761584E-02 
402	 5.55238630616836E-02 
403	 0.055772078888545 
404	 5.54233054111657E-02 
405	 5.83391246711679E-02 
406	 5.96727332297851E-02 
407	 6.00090795864011E-02 
408	 6.05783644648939E-02 
409	 6.13778059933133E-02 
410	 0.061635981772639 
411	 6.17444654067691E-02 
412	 6.25189306831832E-02 
413	 6.36478254778885E-02 
414	 6.42532655601464E-02 
415	 6.41758041980396E-02 
416	 6.41688346984588E-02 
417	 6.49151378812466E-02 
418	 0.065712851033571 
419	 6.58152174973096E-02 
420	 6.55950670978756E-02 
421	 6.49098658845913E-02 
422	 6.46222679817602E-02 
423	 6.59114979493934E-02 
424	 6.61299466779292E-02 
425	 6.58436628063185E-02 
426	 6.57003580149283E-02 
427	 0.065748273103489 
428	 6.51110339963753E-02 
429	 6.45404514020325E-02 
430	 6.48978474405181E-02 
431	 6.48342441316878E-02 
432	 6.44663626959187E-02 
433	 0.064230084144979 
434	 0.064727812647839 
435	 6.48608894079845E-02 
436	 6.48647466279433E-02 
437	 0.065029566690021 
438	 6.50194894192278E-02 
439	 6.53201221164856E-02 
440	 6.58100276432474E-02 
441	 6.61423477935303E-02 
442	 6.68846485038753E-02 
443	 0.067561086750293 
444	 6.78839258651217E-02 
445	 0.067959512804342 
446	 6.84784030989427E-02 
447	 6.90860548076907E-02 
448	 6.93277479610318E-02 
449	 6.97412217904581E-02 
450	 7.02746167281019E-02 
451	 7.08558025971448E-02 
452	 7.13932991045957E-02 
453	 7.13823286463953E-02 
454	 7.15583716090104E-02 
455	 7.22796560251397E-02 
456	 7.24600818485574E-02 
457	 7.26496900752671E-02 
458	 7.28183874750288E-02 
459	 7.27607537246294E-02 
460	 7.28856420309192E-02 
461	 0.073224359369348 
462	 0.073623089175565 
463	 7.37253028806377E-02 
464	 7.39827909606907E-02 
465	 0.074176510565181 
466	 7.40579748054212E-02 
467	 7.39663334192266E-02 
468	 7.42896927958161E-02 
469	 7.46912137651277E-02 
470	 7.43498325466852E-02 
471	 7.44866986612527E-02 
472	 7.45613409590675E-02 
473	 7.42390032717497E-02 
474	 7.43877940206061E-02 
475	 7.44830535358046E-02 
476	 7.45281486549038E-02 
477	 7.47016209337772E-02 
478	 7.47521282130277E-02 
479	 7.47429289525691E-02 
480	 7.47692568022642E-02 
481	 7.49314390338139E-02 
482	 0.075065700995198 
483	 7.51537032767021E-02 
484	 7.52226355843652E-02 
485	 0.075325819329592 
486	 7.52058100539649E-02 
487	 7.50158161199383E-02 
488	 7.52091645610598E-02 
489	 7.52352612057153E-02 
490	 7.52250099213626E-02 
491	 7.53174394943415E-02 
492	 7.53867440099625E-02 
493	 7.53380001585288E-02 
494	 7.52500872270697E-02 
495	 7.52753562640757E-02 
496	 7.54127942429152E-02 
497	 7.53824100453798E-02 
498	 7.52389314155382E-02 
499	 7.55778839314325E-02 
500	 7.56972211898552E-02 
501	 0.075580785500771 
502	 0.075445015951602 
503	 7.55526060744416E-02 
504	 7.55883255574966E-02 
505	 7.55504784777865E-02 
506	 7.57205067349742E-02 
507	 7.57526249809406E-02 
508	 7.57315744923551E-02 
509	 7.57695191514391E-02 
510	 7.58368801490222E-02 
511	 7.57919618176178E-02 
