Wavelength	mm23-200000.asd
350	 5.63134144953384E-02 
351	 6.03370338931905E-02 
352	 5.95974191620482E-02 
353	 5.36296356767177E-02 
354	 5.59544532765793E-02 
355	 6.16684035939065E-02 
356	 6.27400544885198E-02 
357	 5.63725458972707E-02 
358	 6.14842475063147E-02 
359	 5.92852741647126E-02 
360	 5.21289540153626E-02 
361	 5.44643233139708E-02 
362	 4.82028249930549E-02 
363	 4.37305481758474E-02 
364	 4.64340948186793E-02 
365	 4.92101498480437E-02 
366	 4.73992068698329E-02 
367	 4.51971679145456E-02 
368	 4.74729852625643E-02 
369	 5.11575807550804E-02 
370	 5.29303762690737E-02 
371	 5.29651135544276E-02 
372	 5.37286144496093E-02 
373	 5.43719114726471E-02 
374	 5.48770396707019E-02 
375	 5.56534211891256E-02 
376	 5.79400793764779E-02 
377	 5.65647989289486E-02 
378	 5.62567621158593E-02 
379	 6.13228317470264E-02 
380	 6.14451428630098E-02 
381	 0.059212622558744 
382	 5.86703670424586E-02 
383	 6.36234744027267E-02 
384	 6.63152910847294E-02 
385	 6.53001892472227E-02 
386	 6.27993626297027E-02 
387	 6.60774938449795E-02 
388	 6.84737309740087E-02 
389	 6.93088024901316E-02 
390	 6.99042048049948E-02 
391	 7.11501183797704E-02 
392	 7.41874940305527E-02 
393	 7.86034490790542E-02 
394	 8.25850483703704E-02 
395	 8.34852099877687E-02 
396	 8.43045577921922E-02 
397	 8.72569524684992E-02 
398	 9.12833318585457E-02 
399	 9.29588466132623E-02 
400	 9.41541585887792E-02 
401	 9.77762113259013E-02 
402	 0.100509827014044 
403	 0.100841490757721 
404	 0.100630019820733 
405	 0.104624522676349 
406	 0.107733449314969 
407	 0.109807079016621 
408	 0.111103242880086 
409	 0.109790335180092 
410	 0.110223449836514 
411	 0.111651862067953 
412	 0.111307023289245 
413	 0.111053743689948 
414	 0.110333026267766 
415	 0.109289609544797 
416	 0.109221736665901 
417	 0.108232482358894 
418	 0.107374837638337 
419	 0.10734413530787 
420	 0.105085152627357 
421	 0.102953469475677 
422	 0.101862310979425 
423	 0.101524610358697 
424	 0.10005714235031 
425	 0.098062529700547 
