Wavelength	MM300008.asd
350	 6.17275620869338E-02 
351	 6.65457457766503E-02 
352	 6.22276534265957E-02 
353	 5.16079024935677E-02 
354	 0.061562975949455 
355	 6.13968103523647E-02 
356	 5.59231357669949E-02 
357	 5.69575002067368E-02 
358	 6.83153314511966E-02 
359	 0.066069391714433 
360	 5.65517357948334E-02 
361	 6.27130363194705E-02 
362	 6.00993245681819E-02 
363	 5.85695064909097E-02 
364	 6.25848518170516E-02 
365	 0.062247043831641 
366	 5.93183591430176E-02 
367	 5.73761372538101E-02 
368	 5.89094814513139E-02 
369	 6.02700426069668E-02 
370	 5.86832478669396E-02 
371	 0.056762114368096 
372	 5.98062757441882E-02 
373	 6.02087311081339E-02 
374	 5.98666080586189E-02 
375	 6.06759836546443E-02 
376	 6.24897923921945E-02 
377	 6.11560908674616E-02 
378	 5.95551760684838E-02 
379	 6.10928038410106E-02 
380	 6.17340879069576E-02 
381	 6.20345942836948E-02 
382	 6.23568459990392E-02 
383	 6.27641404821074E-02 
384	 6.26908673871787E-02 
385	 6.22155801102173E-02 
386	 6.20090399645244E-02 
387	 6.37131211422274E-02 
388	 6.56052837061977E-02 
389	 6.66338388040531E-02 
390	 6.62741817577114E-02 
391	 0.064993437048242 
392	 6.45838959472222E-02 
393	 6.54064016118958E-02 
394	 6.65365566336999E-02 
395	 6.72530049187405E-02 
396	 6.81631527254932E-02 
397	 6.93460515546124E-02 
398	 6.90987745304402E-02 
399	 6.96048831909356E-02 
400	 7.10628056403991E-02 
401	 7.25261412967112E-02 
402	 7.12982779935966E-02 
403	 7.05271250808676E-02 
404	 7.09782129921585E-02 
405	 7.07292789397123E-02 
406	 7.20435654776701E-02 
407	 7.34874928852161E-02 
408	 7.37182583689706E-02 
409	 7.34359104054751E-02 
410	 0.072424247912723 
411	 7.15660104509086E-02 
412	 7.20204542386751E-02 
413	 7.33363256498426E-02 
414	 0.074211713849322 
415	 7.43288496843599E-02 
416	 7.46645121669564E-02 
417	 7.46132341874391E-02 
418	 7.46794106907934E-02 
419	 7.52830469599213E-02 
420	 7.58751055219541E-02 
421	 0.075263686959792 
422	 7.42719981616862E-02 
423	 7.47820203594715E-02 
424	 7.52467606791955E-02 
425	 7.53676212105006E-02 
426	 7.52277598909265E-02 
427	 7.52830893323347E-02 
428	 7.50700425025309E-02 
429	 7.47896977464682E-02 
430	 7.47323479963008E-02 
431	 7.45107711438529E-02 
432	 7.43202102097276E-02 
433	 7.43329013489547E-02 
434	 7.46417070711677E-02 
435	 7.43313691478471E-02 
436	 7.42056830515733E-02 
437	 7.46872057414707E-02 
438	 7.42284179062976E-02 
439	 7.43066903895497E-02 
440	 7.47937858793553E-02 
441	 7.48420207892603E-02 
442	 7.48212809210002E-02 
443	 7.49769705519222E-02 
444	 7.53073046766276E-02 
445	 7.54636820833617E-02 
446	 7.57432571161762E-02 
447	 7.59781733367788E-02 
448	 7.60169535515383E-02 
449	 7.63396776076235E-02 
450	 7.66792235729174E-02 
451	 7.69412209257096E-02 
452	 7.71895300919922E-02 
453	 7.72287891283648E-02 
454	 7.72107406251088E-02 
455	 7.72852639076073E-02 
456	 7.74537610958233E-02 
457	 7.76248265063068E-02 
458	 7.77637544552403E-02 
459	 7.78744312781032E-02 
460	 7.80370517703972E-02 
461	 7.80606730993495E-02 
462	 7.80218948675468E-02 
463	 7.84058592274885E-02 
464	 7.85190990268166E-02 
465	 7.85933450505944E-02 
466	 7.89040317971549E-02 
467	 7.87877021982905E-02 
468	 7.88592968564655E-02 
469	 7.91250341201085E-02 
470	 7.90975322636296E-02 
471	 7.89481408593603E-02 
472	 7.89464817904776E-02 
473	 7.92027540231345E-02 
474	 7.94745229989607E-02 
475	 7.93684042835038E-02 
476	 7.91779421004491E-02 
477	 7.93925035949755E-02 
478	 7.93886694811228E-02 
479	 7.93606957577186E-02 
480	 7.94464582787189E-02 
481	 7.96133300990395E-02 
482	 7.95966782811822E-02 
483	 7.95644498962228E-02 
484	 7.97075986820961E-02 
485	 7.97952424937308E-02 
486	 0.079747534425237 
487	 7.96354910482346E-02 
488	 7.96424650846782E-02 
489	 7.96840168754703E-02 
490	 7.97579516537278E-02 
491	 7.98774472580999E-02 
492	 8.00955305643645E-02 
493	 8.00959923145894E-02 
494	 8.00083944161499E-02 
495	 0.080131478688452 
496	 8.02650678250976E-02 
497	 8.02720242786666E-02 
498	 8.01907972193024E-02 
499	 8.03074748928166E-02 
500	 8.03926802674603E-02 
501	 8.03958488843439E-02 
502	 8.03505785843559E-02 
503	 8.04117596137995E-02 
504	 8.04711773103561E-02 
505	 8.05025269786029E-02 
506	 8.05591214027481E-02 
507	 8.05341338186465E-02 
508	 0.080671938438292 
509	 8.10227436235272E-02 
510	 8.09372466479741E-02 
511	 8.08978126708597E-02 
512	 8.09326260699683E-02 
513	 8.08590144646488E-02 
514	 8.09036185958564E-02 
515	 8.10020553092709E-02 
516	 8.10867340507606E-02 
517	 0.081146042670084 
518	 8.11297931236372E-02 
519	 0.081141138334182 
520	 8.12871188528487E-02 
521	 8.14405746660028E-02 
522	 8.14198739844803E-02 
523	 8.13216801998128E-02 
524	 8.15207908054414E-02 
525	 8.16131807663935E-02 
526	 8.15955865659293E-02 
527	 8.15688168404888E-02 
528	 8.16579960997014E-02 
529	 8.17613855915991E-02 
530	 8.18204542116678E-02 
531	 8.18172762251512E-02 
532	 0.081825206620307 
533	 0.081927007107407 
534	 8.21061855715576E-02 
535	 8.21394320251376E-02 
536	 8.21943636840965E-02 
537	 8.22697025348975E-02 
538	 8.23140992518158E-02 
539	 8.24032864827835E-02 
540	 8.24395813210741E-02 
541	 8.24484046946214E-02 
542	 8.26368528658884E-02 
543	 8.27109853599427E-02 
544	 8.27728991109002E-02 
545	 8.29550967343037E-02 
546	 8.30552572166957E-02 
547	 8.31367154275769E-02 
548	 8.32371175231769E-02 
549	 8.33643641169156E-02 
550	 8.35048000090495E-02 
551	 8.36137116648614E-02 
552	 8.36992691511645E-02 
553	 8.39300575916955E-02 
554	 8.41135698367768E-02 
555	 0.084238608711335 
556	 8.43918821014608E-02 
557	 8.46054321859282E-02 
558	 8.48224492954469E-02 
559	 8.50173629893648E-02 
560	 8.52380936573279E-02 
561	 8.54664017916006E-02 
562	 8.57012407924123E-02 
563	 8.59459697359845E-02 
564	 8.62003501863524E-02 
565	 8.64584502039625E-02 
566	 8.67453153197291E-02 
567	 8.71186586693289E-02 
568	 8.75037750325165E-02 
569	 8.78672057774704E-02 
570	 8.82084584904364E-02 
571	 8.85937732383921E-02 
572	 8.90283361190733E-02 
573	 8.94720066180558E-02 
574	 8.98599897828008E-02 
575	 9.02447441552339E-02 
576	 9.06937279826549E-02 
577	 9.12068034210175E-02 
578	 9.16259056250465E-02 
579	 9.20884900243927E-02 
580	 9.26226142858984E-02 
581	 9.32124017938647E-02 
582	 9.38820601426477E-02 
583	 9.45529674843554E-02 
584	 9.51786889502767E-02 
585	 9.57701804656191E-02 
586	 9.63650454929162E-02 
587	 9.69673513064836E-02 
588	 9.75710140326145E-02 
589	 9.81789548136593E-02 
590	 0.098808814570986 
591	 9.94578250925761E-02 
592	 0.100105845708434 
593	 0.10072956680389 
594	 0.101377150683512 
595	 0.10207117977362 
596	 0.102732329616931 
597	 0.103397550736595 
598	 0.104070921717191 
599	 0.104743701894661 
600	 0.105439780317086 
601	 0.106079120897009 
602	 0.106648069515459 
603	 0.107276247145708 
604	 0.107867888632687 
605	 0.108427111821038 
606	 0.108987236293025 
607	 0.10954524359099 
608	 0.110063974823027 
609	 0.110556401403539 
610	 0.11109367953543 
611	 0.11158555852367 
612	 0.112078601283942 
613	 0.11259993714192 
614	 0.113006804117405 
615	 0.113361345473221 
616	 0.113722809052506 
617	 0.114136158863163 
618	 0.114530341858699 
619	 0.114826812778202 
620	 0.115042383014481 
621	 0.115400841707735 
622	 0.115729298576915 
623	 0.116010145458844 
624	 0.116284268287002 
625	 0.11655609929523 
626	 0.116808340436322 
627	 0.117044982459312 
628	 0.117300131195812 
629	 0.117568266713995 
630	 0.117810962275682 
631	 0.118002917908752 
632	 0.118200056581562 
633	 0.118416239468629 
634	 0.118638944048524 
635	 0.118837833873318 
636	 0.11906199589194 
637	 0.119269960964447 
