Wavelength	LMW_13_a00001.asd
350	 5.78327985845689E-02 
351	 0.062418382331321 
352	 0.059114170566117 
353	 0.048502997712632 
354	 5.79251027903581E-02 
355	 6.12080029064963E-02 
356	 5.34835586673402E-02 
357	 0.041296744464868 
358	 5.14456967983849E-02 
359	 5.31757062266235E-02 
360	 4.67205625644873E-02 
361	 5.11257294578368E-02 
362	 0.047961551871465 
363	 4.43204785355918E-02 
364	 4.41333727201298E-02 
365	 4.13443167245363E-02 
366	 4.06227179203058E-02 
367	 4.08919079103495E-02 
368	 4.06021760892632E-02 
369	 4.25714417039253E-02 
370	 0.047032458583641 
371	 4.97842791513026E-02 
372	 4.49532139395435E-02 
373	 4.51124592576381E-02 
374	 4.61149395592401E-02 
375	 4.52824117162497E-02 
376	 4.64766536064215E-02 
377	 4.68248962984471E-02 
378	 4.59518793084311E-02 
379	 4.49798528052838E-02 
380	 4.81385242498307E-02 
381	 4.85997701367105E-02 
382	 4.68651253880193E-02 
383	 4.87032599244797E-02 
384	 4.92494427645037E-02 
385	 4.79466765659525E-02 
386	 4.67416002758987E-02 
387	 5.16068379363352E-02 
388	 5.24649200439667E-02 
389	 5.08906555466023E-02 
390	 5.13127292723722E-02 
391	 5.19830758331676E-02 
392	 5.34378300609612E-02 
393	 5.55187453871219E-02 
394	 5.73707655629654E-02 
395	 5.66736693950407E-02 
396	 5.70720113710214E-02 
397	 5.98497879638233E-02 
398	 5.90370678479495E-02 
399	 5.92233631871805E-02 
400	 6.05884439450761E-02 
401	 6.17107277971988E-02 
402	 6.19549727912185E-02 
403	 6.22539317110312E-02 
404	 6.27957000904548E-02 
405	 6.29636755422913E-02 
406	 6.41633791191759E-02 
407	 0.065429931671788 
408	 0.065734999503735 
409	 6.49613022745588E-02 
410	 6.41920295373266E-02 
411	 6.37217779908077E-02 
412	 0.063556120120389 
413	 6.49039326401687E-02 
414	 6.54864247725888E-02 
415	 6.47552700903797E-02 
416	 6.46869307460546E-02 
417	 6.41356729007069E-02 
418	 6.34733115932892E-02 
419	 6.32155813874326E-02 
420	 6.33087678053987E-02 
421	 6.24383063236798E-02 
422	 6.13121737208471E-02 
423	 6.16467117774931E-02 
424	 6.09160677068647E-02 
425	 6.00852235475726E-02 
426	 5.97821062243037E-02 
427	 5.92076118550533E-02 
428	 5.86660728958426E-02 
429	 5.82268795527472E-02 
430	 5.78822927175859E-02 
431	 5.75545081961278E-02 
432	 0.057406412106904 
433	 5.76136559164043E-02 
434	 5.83242618038833E-02 
435	 5.88444326123964E-02 
436	 5.93825600215362E-02 
437	 6.01117592986605E-02 
438	 6.05526811104854E-02 
439	 6.14480426457483E-02 
440	 6.25825200349343E-02 
441	 6.33784705841918E-02 
442	 6.46071721629391E-02 
443	 6.57075275943124E-02 
444	 6.64249043624054E-02 
445	 6.71311577613785E-02 
446	 6.79733950626023E-02 
447	 6.90042374802925E-02 
448	 7.01737527120173E-02 
449	 7.12640192624865E-02 
450	 7.21172234142348E-02 
451	 7.29103745325418E-02 
452	 7.40579491547473E-02 
453	 7.49757377586651E-02 
454	 7.58691037334055E-02 
