Wavelength	LMW_1500003.asd
350	 0.057962322292144 
351	 0.067032752776563 
352	 6.20555726809703E-02 
353	 4.75172878697493E-02 
354	 4.81807337202919E-02 
355	 5.38971002225782E-02 
356	 0.059202285617768 
357	 6.02440693016156E-02 
358	 0.053801820557856 
359	 5.31927623904114E-02 
360	 5.76503688516924E-02 
361	 5.74897785167958E-02 
362	 5.37747236089395E-02 
363	 5.24848758777997E-02 
364	 5.41548979558987E-02 
365	 4.96803817687877E-02 
366	 4.92270205094013E-02 
367	 5.08426346313879E-02 
368	 5.05160986678824E-02 
369	 4.99783633915206E-02 
370	 5.09225073417242E-02 
371	 5.26636281165415E-02 
372	 5.29154177056544E-02 
373	 5.11626864934257E-02 
374	 5.06743671141254E-02 
375	 5.28963073881836E-02 
376	 5.58294873465979E-02 
377	 5.28086056940556E-02 
378	 5.07332002048039E-02 
379	 5.60957622719026E-02 
380	 5.54756652541777E-02 
381	 5.34222872810734E-02 
382	 5.24055358352605E-02 
383	 5.26542532098437E-02 
384	 5.23259362036221E-02 
385	 0.052017943565328 
386	 5.23926330777252E-02 
387	 0.053655590230007 
388	 5.41409018052222E-02 
389	 5.37395223919943E-02 
390	 5.32304736925099E-02 
391	 5.48838024280891E-02 
392	 5.50990672699316E-02 
393	 5.37512713063867E-02 
394	 5.37287110195313E-02 
395	 0.054475195661789 
396	 5.47203389997497E-02 
397	 5.40161189508106E-02 
398	 5.38629535041392E-02 
399	 5.40783593279119E-02 
400	 5.43777789127094E-02 
401	 5.44364512492293E-02 
402	 5.41535232751028E-02 
403	 5.41296497317381E-02 
404	 5.43829478474722E-02 
405	 5.43461971456428E-02 
406	 5.51187773493264E-02 
407	 5.61237283947682E-02 
408	 5.64250740853448E-02 
409	 5.47767916056224E-02 
410	 5.40014886218438E-02 
411	 5.43639134877704E-02 
412	 5.48536720008805E-02 
413	 5.51736062914008E-02 
414	 5.53251008508575E-02 
415	 5.52545154272218E-02 
416	 5.47602047574786E-02 
417	 5.45631963650897E-02 
418	 5.50681025787399E-02 
419	 5.61225995862712E-02 
420	 5.62415524967139E-02 
421	 5.55852312236822E-02 
422	 5.50094784206695E-02 
423	 5.55907786808575E-02 
424	 5.59911774278737E-02 
425	 5.60445775012748E-02 
426	 5.59684494581561E-02 
