Wavelength	MM_3200001.asd
350	 2.55876563308825E-02 
351	 2.71382211995768E-02 
352	 0.025616741718117 
353	 2.38633443985966E-02 
354	 2.86048033470998E-02 
355	 2.88621793044335E-02 
356	 0.02619114477439 
357	 2.56168717681575E-02 
358	 3.25917397119793E-02 
359	 3.53385894672982E-02 
360	 3.27455422460854E-02 
361	 0.030789690497736 
362	 0.029623653238271 
363	 2.88672480574377E-02 
364	 2.81808467687889E-02 
365	 2.73957912086163E-02 
366	 2.81299282351073E-02 
367	 2.91357914547528E-02 
368	 2.91521399796659E-02 
369	 3.04503472773349E-02 
370	 2.91130293758389E-02 
371	 2.76697842922938E-02 
372	 3.20500074786238E-02 
373	 3.37067061130814E-02 
374	 0.033588329076094 
375	 3.38689558890783E-02 
376	 3.68271212121673E-02 
377	 3.52546729001355E-02 
378	 3.23514852542442E-02 
379	 3.31631591655222E-02 
380	 3.66433747669764E-02 
381	 3.62389092953549E-02 
382	 3.36207088625852E-02 
383	 3.61118930601802E-02 
384	 3.77918524905036E-02 
385	 3.73024188961935E-02 
386	 0.03599849538064 
387	 3.92354586248827E-02 
388	 4.10786395793532E-02 
389	 4.08711622394549E-02 
390	 3.98353645545182E-02 
391	 3.91161113584313E-02 
392	 3.89037700924539E-02 
393	 3.94476555219914E-02 
394	 0.041025865902871 
395	 4.33039204287824E-02 
396	 4.48833726328258E-02 
397	 4.51010910391622E-02 
398	 4.49987264102737E-02 
399	 4.49260044200568E-02 
400	 4.57873315067903E-02 
401	 4.78366520004538E-02 
402	 4.71299322026783E-02 
403	 4.62473971344753E-02 
404	 4.65482608691522E-02 
405	 4.77010564580043E-02 
406	 4.92818339585137E-02 
407	 4.99523258870006E-02 
408	 4.93080950787762E-02 
409	 4.95840590480504E-02 
410	 4.93892218389608E-02 
411	 0.049305091604836 
412	 5.05206661811447E-02 
413	 5.19548959003592E-02 
414	 5.16702717237488E-02 
415	 0.050350405268763 
416	 5.19859950807216E-02 
417	 5.24391137736227E-02 
418	 5.23854965836629E-02 
419	 0.053004048833553 
420	 5.30395260211725E-02 
421	 5.27222814604469E-02 
422	 5.28168458567056E-02 
423	 5.41747571616394E-02 
424	 5.50822165665532E-02 
425	 5.51717544767042E-02 
426	 5.47106995526785E-02 
427	 5.46573073594732E-02 
428	 5.48918810201275E-02 
429	 5.51601100545927E-02 
430	 5.52643904364963E-02 
431	 5.57362763828998E-02 
432	 5.56410212826725E-02 
433	 5.53934409047976E-02 
434	 5.66223993312418E-02 
435	 5.69096733759759E-02 
436	 5.67434871732367E-02 
437	 5.68471640975636E-02 
438	 0.056980846592542 
439	 5.71379174054507E-02 
440	 5.74058571865132E-02 
441	 5.78622403745396E-02 
442	 5.81202545159589E-02 
443	 5.81911304240882E-02 
444	 5.82097154276062E-02 
445	 0.058421338157004 
446	 5.86577781559884E-02 
447	 5.89054950509857E-02 
448	 5.91678052446886E-02 
449	 5.93281881729778E-02 
450	 5.95822543244831E-02 
451	 5.99052458689771E-02 
452	 6.00724889590651E-02 
453	 5.97845883214862E-02 
454	 0.059583506950162 
455	 5.98538106428251E-02 
456	 6.03098275882905E-02 
457	 0.060419018830205 
458	 6.03079013242301E-02 
459	 6.03870842015354E-02 
460	 6.05394402822264E-02 
461	 6.06109245735718E-02 
462	 6.05746917242378E-02 
463	 6.05798623015308E-02 
464	 6.07502734116651E-02 
465	 6.10192428430634E-02 
466	 6.12663432034366E-02 
467	 6.14278802006116E-02 
468	 6.16258509690323E-02 
469	 6.17683713145373E-02 
470	 6.16306566441006E-02 
471	 6.17844640101592E-02 
472	 6.19380732425318E-02 
473	 6.19158556742553E-02 
474	 6.21855748700229E-02 
475	 6.23811662762659E-02 
476	 6.24393679690419E-02 
477	 6.24685157736897E-02 
478	 0.062796165189412 
479	 6.30182330964638E-02 
480	 0.062930781799542 
481	 6.26749438404404E-02 
482	 0.062846576093857 
483	 0.063254149586484 
484	 6.35100985627637E-02 
485	 6.34790264021112E-02 
486	 6.34250273026644E-02 
487	 6.34450223352451E-02 
488	 6.34873733803711E-02 
489	 0.063630008396206 
490	 6.37562378836698E-02 
491	 6.38296731954026E-02 
492	 6.41264316279062E-02 
493	 0.064163368760793 
494	 0.064120965466982 
495	 6.43899489230065E-02 
496	 6.43482793761893E-02 
497	 6.42322104707782E-02 
498	 6.42596226896648E-02 
499	 6.45039869194173E-02 
500	 6.47379378554021E-02 
501	 6.48096394889724E-02 
502	 6.47263353709009E-02 
503	 6.50763051062203E-02 
504	 6.51190143984147E-02 
505	 6.48786537955567E-02 
506	 6.50716835730732E-02 
507	 6.50858478419611E-02 
508	 6.50592088205722E-02 
509	 6.51652091503658E-02 
510	 6.53080171468875E-02 
511	 6.53103766065677E-02 
512	 6.52567950040047E-02 
513	 6.53490906735431E-02 
514	 6.54343723640914E-02 
515	 0.065459327587692 
516	 6.54726209985373E-02 
517	 6.56892084341188E-02 
518	 6.58035124670657E-02 
519	 6.57748829120858E-02 
520	 6.56969609543887E-02 
521	 6.58478006277618E-02 
522	 6.59388881807627E-02 
523	 0.065882803916524 
524	 6.58348413016611E-02 
525	 6.58646173996219E-02 
526	 6.59575477135953E-02 
527	 0.066048258873293 
528	 6.59789032477034E-02 
529	 6.60124057014753E-02 
530	 6.61197074716337E-02 
531	 0.066093549968127 
532	 6.60516292592566E-02 
533	 6.61481916389137E-02 
534	 6.63851341780042E-02 
535	 6.64569789920094E-02 
536	 6.63869052902364E-02 
537	 6.63580403759689E-02 
538	 6.65471209729638E-02 
539	 6.65645295282575E-02 
540	 0.06653956489097 
541	 0.06655713690933 
542	 6.65859462096098E-02 
543	 6.66426609755971E-02 
544	 6.67101309217546E-02 
545	 6.67656201020097E-02 
546	 6.68069159858906E-02 
547	 6.68129057359953E-02 
548	 6.68119691776224E-02 
549	 6.68687584964677E-02 
550	 6.69128142602748E-02 
551	 6.69304160508228E-02 
552	 6.69456241562384E-02 
553	 6.70669609022092E-02 
554	 6.70823234060956E-02 
555	 6.70616037020586E-02 
556	 0.067198302606249 
557	 6.73427134664502E-02 
558	 6.74038178931486E-02 
559	 6.73990529302279E-02 
560	 6.75260203792988E-02 
561	 6.75864412322981E-02 
562	 6.76087903723391E-02 
563	 6.76831131426138E-02 
564	 6.77955866011593E-02 
565	 6.78047777954772E-02 
566	 6.77241451649504E-02 
567	 6.77436489459784E-02 
568	 6.78232600620271E-02 
569	 6.79558918678678E-02 
570	 6.81116154403878E-02 
571	 6.81726668715863E-02 
572	 6.82551147286217E-02 
573	 6.83712107219559E-02 
574	 6.84602126702183E-02 
575	 6.85478044260904E-02 
576	 6.86648893750919E-02 
577	 6.87934709729817E-02 
578	 6.88001842336598E-02 
579	 6.87999609705347E-02 
580	 6.88004998264109E-02 
581	 6.87780922553103E-02 
582	 6.88196245153936E-02 
583	 6.88535263340953E-02 
584	 6.88674430313692E-02 
585	 6.89524426331973E-02 
586	 6.90546998315437E-02 
587	 6.91324190762265E-02 
588	 6.91734119685529E-02 
589	 6.92785012527025E-02 
590	 6.93888554752918E-02 
591	 6.94863982119945E-02 
592	 6.95938456632898E-02 
593	 6.96633262651048E-02 
594	 6.97572338457439E-02 
595	 6.99070088013905E-02 
596	 0.070016764248611 
597	 7.00320407120797E-02 
598	 7.00006009709613E-02 
599	 0.070023768658582 
600	 7.01048039765619E-02 
601	 0.070172100285048 
602	 7.01926670987853E-02 
603	 7.02200804014776E-02 
604	 7.02058263677032E-02 
605	 7.01924908764018E-02 
606	 7.02412161995588E-02 
607	 7.03322729299326E-02 
608	 0.070395030599859 
609	 7.04248587180564E-02 
610	 7.04937130009532E-02 
611	 7.05215130764777E-02 
612	 7.05082774558142E-02 
613	 7.04902830124845E-02 
614	 7.05626983885933E-02 
615	 7.05738182614001E-02 
616	 7.05473378139956E-02 
617	 7.06163000845854E-02 
618	 7.06356040591857E-02 
619	 0.070620552894651 
620	 0.070607432287124 
621	 0.070620681949324 
622	 7.06921568696096E-02 
623	 7.07457648817202E-02 
624	 7.06992814401164E-02 
625	 7.07596359002208E-02 
626	 0.070813804696442 
627	 7.08037719230134E-02 
628	 7.07768093509603E-02 
629	 7.07817619097211E-02 
630	 7.08219302158284E-02 
631	 7.08723004324246E-02 
632	 7.08638431508926E-02 
633	 7.08585688548846E-02 
634	 7.08848455963885E-02 
635	 7.09360950443476E-02 
636	 7.09495229555704E-02 
637	 7.09510715245004E-02 
638	 7.09700521599321E-02 
639	 7.10071212154263E-02 
640	 7.10136812688511E-02 
641	 7.10138769044745E-02 
642	 7.10567551697896E-02 
643	 7.10930244907603E-02 
644	 7.11060035579361E-02 
645	 7.11065932655038E-02 
646	 7.11403696711638E-02 
647	 7.11843611833865E-02 
648	 7.11955752144395E-02 
649	 7.11601858042851E-02 
650	 7.12119814757326E-02 
651	 7.12440787250964E-02 
652	 0.071241863401464 
653	 7.12742290728742E-02 
654	 7.13198200340135E-02 
655	 7.13406765231857E-02 
656	 7.13302760061421E-02 
657	 7.13667469198135E-02 
658	 0.071427218409693 
659	 7.14692395588173E-02 
660	 7.14541437094486E-02 
661	 7.14600070854666E-02 
662	 7.14939665228206E-02 
663	 7.15320544500011E-02 
664	 7.15153341732925E-02 
665	 7.15407550752374E-02 
666	 7.15746865159008E-02 
667	 7.15723337369928E-02 
668	 7.16105887299078E-02 
669	 7.16365103714992E-02 
670	 0.071647846652397 
671	 7.16837456671396E-02 
672	 7.17015334583521E-02 
673	 0.07170816049076 
674	 7.17250299102952E-02 
675	 7.17932625035838E-02 
676	 7.18335668584119E-02 
677	 0.071843019212905 
678	 7.18512383554885E-02 
679	 7.18509025510065E-02 
680	 7.18384535567911E-02 
681	 0.071835020339534 
682	 7.18929614815589E-02 
683	 0.071949743468891 
684	 7.19767292888828E-02 
685	 7.19719911841376E-02 
686	 7.19878987699249E-02 
687	 0.072014758390303 
688	 7.20517559695753E-02 
