Wavelength	lmw-9-200003.asd
350	 7.04034403435303E-02 
351	 7.68157100813341E-02 
352	 7.40240107482922E-02 
353	 5.82952989696132E-02 
354	 5.93543065344826E-02 
355	 6.32182843365285E-02 
356	 6.09791083115671E-02 
357	 5.20183356115154E-02 
358	 6.12711819517863E-02 
359	 6.23769682974094E-02 
360	 5.53147268265553E-02 
361	 5.65093113530659E-02 
362	 5.67147227220892E-02 
363	 5.36142480147969E-02 
364	 4.94564809063007E-02 
365	 5.23815146661158E-02 
366	 5.05894999209443E-02 
367	 4.86740144624609E-02 
368	 5.28543650329227E-02 
369	 5.85367017195084E-02 
370	 5.53623874365401E-02 
371	 0.049537057874439 
372	 5.61521555110333E-02 
373	 5.37314378907717E-02 
374	 5.14449720052144E-02 
375	 5.42833391624952E-02 
376	 5.33482957264389E-02 
377	 0.050622244947444 
378	 5.01548009744045E-02 
379	 5.40743272384128E-02 
380	 5.34187754601824E-02 
381	 5.20077515189351E-02 
382	 5.24653717739337E-02 
383	 5.55532566558169E-02 
384	 5.54325640034163E-02 
385	 5.35507105299501E-02 
386	 5.26192257510292E-02 
387	 5.59259256368383E-02 
388	 5.60085712655153E-02 
389	 5.45652120526936E-02 
390	 5.50043774568796E-02 
391	 5.33592457504529E-02 
392	 5.27446982344202E-02 
393	 5.41598248755134E-02 
394	 5.63731343562932E-02 
395	 5.57335993463802E-02 
396	 5.52254660733871E-02 
397	 5.66789512983084E-02 
398	 0.057224510637446 
399	 5.62996940683985E-02 
400	 5.58600103698682E-02 
401	 5.77055899388468E-02 
402	 5.70855492706568E-02 
403	 0.055831342184098 
404	 5.53441928545793E-02 
405	 5.60717214553505E-02 
406	 5.76485628424661E-02 
407	 5.90239418028074E-02 
408	 5.93609343283488E-02 
409	 5.83912653004104E-02 
410	 5.80191626775904E-02 
411	 5.86921343970686E-02 
412	 5.99047934588675E-02 
413	 0.06023619729852 
414	 6.02353858043396E-02 
415	 6.01147629100384E-02 
416	 5.93786986026274E-02 
417	 5.92938239931402E-02 
418	 5.97740488781613E-02 
419	 6.03619770163699E-02 
420	 6.07862133283209E-02 
421	 0.060193615704678 
422	 5.96093181679727E-02 
423	 6.08389881750737E-02 
424	 6.01900683499153E-02 
425	 5.91785647141378E-02 
426	 5.90976226733183E-02 
427	 5.97519810366451E-02 
428	 5.95061730614804E-02 
429	 5.90769312165763E-02 
430	 5.95380736087867E-02 
431	 5.94989365828439E-02 
432	 5.94439861012071E-02 
433	 5.96517571225711E-02 
434	 6.00978150809775E-02 
435	 0.060331049138806 
436	 6.07595065876747E-02 
437	 6.15202548586591E-02 
438	 6.15529900482242E-02 
439	 6.17171281041063E-02 
440	 6.21893159596089E-02 
441	 0.06278931019133 
442	 6.34952902358757E-02 
443	 6.41039045061046E-02 
444	 6.44826095072729E-02 
445	 6.45858717039276E-02 
446	 6.51854826578416E-02 
447	 6.57424068612099E-02 
448	 6.56587126730055E-02 
449	 0.065754249241601 
450	 6.62596176089292E-02 
451	 6.69814456348671E-02 
452	 6.73996726324298E-02 
453	 6.74735485712673E-02 
454	 6.74123896064199E-02 
455	 6.74762294234041E-02 
456	 6.79770340019536E-02 
457	 6.81507449225728E-02 
458	 6.81894775635643E-02 
459	 6.86104600130318E-02 
460	 6.87488698047178E-02 
461	 6.89124120115304E-02 
462	 6.91974790121916E-02 
463	 6.92789569358927E-02 
464	 6.96471536516187E-02 
465	 6.99863224203577E-02 
466	 6.99579782246147E-02 
467	 7.00563255196832E-02 
468	 7.01745856140768E-02 
469	 7.02495966552273E-02 
470	 7.02858484102729E-02 
471	 0.070680625059452 
472	 7.09355189412219E-02 
473	 7.07710401236874E-02 
474	 7.07461328330604E-02 
475	 7.08142400112253E-02 
476	 7.09491574282058E-02 
477	 7.11188565684141E-02 
478	 7.13615280885845E-02 
479	 0.071438241331249 
480	 7.13387487864643E-02 
481	 7.13882720102299E-02 
482	 7.15245064865798E-02 
483	 7.15810294848392E-02 
484	 7.14987497935752E-02 
485	 7.18296552520281E-02 
486	 7.18695759100039E-02 
487	 7.15989535567642E-02 
488	 7.15807532064136E-02 
489	 7.18325949332085E-02 
490	 0.072002639690453 
491	 0.071894260052588 
492	 7.18515570564908E-02 
493	 7.17811385847578E-02 
494	 7.16469999470234E-02 
495	 7.14997822390224E-02 
496	 7.19057645752249E-02 
497	 7.21474441264824E-02 
498	 7.19814554553075E-02 
499	 7.20410773379745E-02 
500	 7.19386625485987E-02 
501	 7.18384325810087E-02 
502	 7.19355685359548E-02 
503	 7.18737904074645E-02 
504	 7.17294448783517E-02 
505	 7.16362612449559E-02 
506	 7.17479823198285E-02 
507	 7.18272494991038E-02 
508	 7.18283244763855E-02 
509	 7.17354575112882E-02 
510	 7.14479572442999E-02 
511	 0.071440369744815 
512	 7.16214600214343E-02 
513	 7.16110215311066E-02 
514	 7.14630067041789E-02 
515	 7.13377477606221E-02 
516	 7.13268623498204E-02 
517	 7.13951460235229E-02 
518	 7.14078677942312E-02 
519	 7.13669825939312E-02 
520	 7.13445785535611E-02 
521	 7.15147662436966E-02 
522	 7.15039159351406E-02 
523	 0.071283551150355 
524	 7.12088903362798E-02 
525	 7.12554408167007E-02 
526	 7.12820836238852E-02 
527	 7.12049850223984E-02 
528	 7.12298812457326E-02 
529	 7.11933994148736E-02 
530	 7.11613786310052E-02 
531	 7.13152039480848E-02 
532	 7.12852083335413E-02 
533	 7.13077574078451E-02 
534	 7.14759395857657E-02 
535	 7.13953492873659E-02 
536	 7.13318215404855E-02 
537	 7.13356902898287E-02 
538	 7.13701636977737E-02 
539	 7.13926406587736E-02 
540	 7.14072016153945E-02 
541	 7.14294488608421E-02 
542	 7.14832528543975E-02 
543	 0.071569216861203 
544	 7.16473445060565E-02 
545	 7.16804156419905E-02 
546	 0.071684631479209 
547	 7.17024470165578E-02 
548	 7.17625977496063E-02 
549	 0.071873024716451 
550	 7.18709956072183E-02 
551	 7.19172406567567E-02 
552	 0.072111362188806 
553	 7.22531127127592E-02 
554	 7.22971401815775E-02 
555	 7.23153687735715E-02 
556	 7.24341491114405E-02 
557	 7.26023410542093E-02 
558	 7.27424403405764E-02 
559	 7.28531189701322E-02 
560	 0.073076717407752 
561	 0.073244614619397 
562	 7.33914285615918E-02 
563	 7.35992317405995E-02 
564	 7.38042834511465E-02 
565	 7.39464314071337E-02 
566	 7.40879127497822E-02 
567	 7.44203711617091E-02 
568	 7.47486947494361E-02 
569	 7.50302502185957E-02 
570	 7.52877356723668E-02 
571	 7.56243842186556E-02 
572	 0.07602303117038 
573	 7.64171791352442E-02 
574	 7.67199212994826E-02 
575	 7.70603174802962E-02 
576	 7.74359006562855E-02 
577	 7.78303606254982E-02 
578	 0.07823695138461 
579	 0.07873217588789 
580	 7.93054627087465E-02 
581	 7.99116994572802E-02 
582	 8.05869856003656E-02 
583	 8.11834106754096E-02 
584	 8.16661900599107E-02 
585	 8.21791427705886E-02 
586	 8.27268946102585E-02 
587	 8.32769863674156E-02 
588	 0.083808243727887 
589	 8.44250453880214E-02 
590	 8.50315793097468E-02 
591	 8.56212071123248E-02 
592	 8.62712195828615E-02 
593	 8.68914308853139E-02 
594	 8.74754563137278E-02 
595	 8.80530385425705E-02 
596	 8.86992908872821E-02 
597	 8.94053877718198E-02 
598	 0.090147594497316 
599	 9.08882599794576E-02 
600	 9.15481855541263E-02 
601	 9.21714296992954E-02 
602	 9.27942426137061E-02 
603	 9.34158984751221E-02 
604	 9.40043027707616E-02 
605	 9.45939725131585E-02 
606	 9.52230026586377E-02 
607	 9.58099063282923E-02 
608	 9.63693041380202E-02 
609	 9.69222368637906E-02 
610	 9.74899207540245E-02 
611	 9.79809355813122E-02 
612	 9.84692083262837E-02 
613	 9.90053454459056E-02 
614	 9.94260407855399E-02 
615	 9.98177883647827E-02 
616	 0.10022793376515 
617	 0.100665543068614 
618	 0.101069574360184 
619	 0.101420996237217 
620	 0.101731681122333 
621	 0.10205962064199 
622	 0.102387221249698 
623	 0.102683482567912 
624	 0.102933209019581 
625	 0.103271210106958 
626	 0.10360684573917 
627	 0.10386957664487 
628	 0.104037256294877 
629	 0.104300033828225 
630	 0.104579830362731 
631	 0.104770014298936 
632	 0.10496128710074 
633	 0.105195441360562 
634	 0.105450472903107 
635	 0.105656250033343 
636	 0.10584532532008 
637	 0.10604288144751 
638	 0.106253219755101 
639	 0.106428909462246 
640	 0.10663120722389 
641	 0.106847951991252 
642	 0.107040300311805 
643	 0.107249667078195 
644	 0.107483295580096 
645	 0.107714472544088 
646	 0.107870819705677 
647	 0.108053389732462 
648	 0.108254241955008 
649	 0.108445719508313 
650	 0.108658687677413 
651	 0.108911882260264 
652	 0.1091688640411 
653	 0.109354962978069 
654	 0.109578775804196 
655	 0.109813643585817 
656	 0.110032891429862 
657	 0.110271987746379 
658	 0.110526059082656 
659	 0.110769626633894 
660	 0.110974718650851 
661	 0.111175546170893 
662	 0.11142705525286 
663	 0.11173139720979 
664	 0.112015236936697 
665	 0.112254060777114 
666	 0.112488639612021 
667	 0.112766180493625 
668	 0.113066226319428 
669	 0.113368707466067 
670	 0.11367277153594 
