Wavelength	mm23-200003.asd
350	 5.91622650721896E-02 
351	 6.12157779861104E-02 
352	 5.82192849785293E-02 
353	 5.21513529654001E-02 
354	 5.70624789243361E-02 
355	 5.72705570368282E-02 
356	 5.58217329704368E-02 
357	 0.057869468674861 
358	 5.70064841787691E-02 
359	 5.52494180827239E-02 
360	 5.45610330934208E-02 
361	 5.60002401310105E-02 
362	 5.28316624126287E-02 
363	 5.02940170694972E-02 
364	 0.051007316642199 
365	 5.14653350935132E-02 
366	 5.00038835632272E-02 
367	 4.86879532040027E-02 
368	 4.96610593054347E-02 
369	 5.10577263551887E-02 
370	 5.14381545029071E-02 
371	 5.24004801329513E-02 
372	 5.66894566645522E-02 
373	 5.56965700837231E-02 
374	 5.30212360658773E-02 
375	 5.25733054106686E-02 
376	 5.63142528349962E-02 
377	 5.62128806730278E-02 
378	 5.72560122653128E-02 
379	 6.41536876358199E-02 
380	 6.31991336703184E-02 
381	 6.18091833326719E-02 
382	 6.22852684343748E-02 
383	 6.26455738521666E-02 
384	 6.53716662030613E-02 
385	 6.71046287526789E-02 
386	 6.66899588780649E-02 
387	 6.86179758860655E-02 
388	 7.17461014735151E-02 
389	 0.072738997738261 
390	 0.069989080663905 
391	 7.35750204939622E-02 
392	 7.60268805935361E-02 
393	 7.67319607417971E-02 
394	 8.10267754480696E-02 
395	 8.34560208024418E-02 
396	 8.63132593267947E-02 
397	 9.07682293275737E-02 
398	 9.29499003208092E-02 
399	 9.49404403772946E-02 
400	 9.75586123611186E-02 
401	 0.100724340569199 
402	 0.102096623238392 
403	 0.102818532141864 
404	 0.10369551395858 
405	 0.104955258324375 
406	 0.107477178765597 
407	 0.10995704641765 
408	 0.110964769114811 
409	 0.109395611873869 
410	 0.109621844807384 
411	 0.110931208090319 
412	 0.110677475407534 
413	 0.111497220337256 
414	 0.112081426008548 
415	 0.111477392908471 
416	 0.109574011630148 
417	 0.108583968248833 
418	 0.107700570381596 
419	 0.106104434525325 
420	 0.105808621955174 
421	 0.104762965200217 
422	 0.102848544723843 
423	 0.101227030158818 
424	 0.10006761104342 
425	 9.85384685527237E-02 
426	 0.096478449215397 
427	 9.51311032137377E-02 
428	 0.09403943128162 
429	 9.28367125500387E-02 
430	 9.14777735842515E-02 
431	 9.14345292278872E-02 
432	 9.14212734345626E-02 
433	 0.09149033491102 
434	 9.30114160388738E-02 
435	 9.45935306317863E-02 
436	 9.62478751294214E-02 
437	 9.81620948470062E-02 
438	 0.100185634178775 
439	 0.102464233798909 
440	 0.10510817940771 
441	 0.108115391040281 
442	 0.110826419138538 
443	 0.113808959642154 
444	 0.117195087819517 
445	 0.120283896006278 
446	 0.123483042850874 
447	 0.126696978374322 
448	 0.129803901015068 
449	 0.133165215807818 
450	 0.136662747743339 
451	 0.140056471113302 
452	 0.143074205478779 
453	 0.146244885070385 
454	 0.149291141640229 
455	 0.152135329684228 
456	 0.155561761184592 
457	 0.158904874648694 
458	 0.161942431257963 
459	 0.164764303175059 
460	 0.168211467622068 
461	 0.171381085388879 
462	 0.174064540407719 
463	 0.1772266440363 
464	 0.180241642713985 
465	 0.183230539776357 
466	 0.186386142312586 
467	 0.18937454144909 
468	 0.192334885208053 
469	 0.195269620902528 
470	 0.198068566409653 
471	 0.200783428351744 
472	 0.203479846871753 
473	 0.206197641232087 
474	 0.208893918701676 
475	 0.21163694344796 
476	 0.214352530479852 
477	 0.216917608898381 
478	 0.219339681122135 
479	 0.221723122020685 
480	 0.224116501926035 
481	 0.226492818726761 
482	 0.22869853079673 
483	 0.230878543163393 
484	 0.233143432228505 
485	 0.235131331067897 
486	 0.237014261285208 
487	 0.238812508484891 
488	 0.240424822240202 
489	 0.242002775761593 
490	 0.243571814050742 
491	 0.245129945734806 
492	 0.246711480042545 
493	 0.247906754127554 
494	 0.248913196519719 
495	 0.250175535309639 
496	 0.251580830765113 
497	 0.252658434895799 
498	 0.253371785785099 
499	 0.254369839689037 
500	 0.255219379556585 
501	 0.255941330233592 
502	 0.256650082605537 
503	 0.257279688124877 
504	 0.257878358563274 
505	 0.258487161721553 
506	 0.259129677824971 
507	 0.259651086910636 
508	 0.260073360212813 
509	 0.260471276004162 
510	 0.260980309934054 
511	 0.261274128078383 
512	 0.261516323699466 
513	 0.262055921964892 
514	 0.262349023310476 
515	 0.262555588729927 
516	 0.262835170575688 
517	 0.263228584822492 
518	 0.263401242885285 
519	 0.263508658213895 
520	 0.263787167486026 
521	 0.263945221052615 
522	 0.264179919526387 
523	 0.264508444108695 
524	 0.264737396962356 
