Wavelength	mm2400017.asd
350	 4.14609025442196E-02 
351	 5.26504674387593E-02 
352	 4.88426271384913E-02 
353	 3.23042836545489E-02 
354	 3.54444041833152E-02 
355	 4.10357164310643E-02 
356	 0.043322814123179 
357	 4.21473056211321E-02 
358	 4.59640466444162E-02 
359	 4.54904612812802E-02 
360	 4.17604949317182E-02 
361	 4.19872480641046E-02 
362	 4.07971225238302E-02 
363	 4.03522895228577E-02 
364	 4.10975567932907E-02 
365	 3.91414534949007E-02 
366	 4.20624159396178E-02 
367	 4.64949029073978E-02 
368	 0.047254356165773 
369	 4.44684474949485E-02 
370	 4.19163292856392E-02 
371	 4.16385268768296E-02 
372	 4.38208689351021E-02 
373	 4.38718360605934E-02 
374	 4.32777895876439E-02 
375	 4.34350889464427E-02 
376	 4.41582195334363E-02 
377	 4.41371510654022E-02 
378	 4.51666375901299E-02 
379	 4.84805983393142E-02 
380	 4.93239019977432E-02 
381	 4.79278868390508E-02 
382	 4.71321366145157E-02 
383	 5.06971616065248E-02 
384	 5.06313258039589E-02 
385	 0.049264952447087 
386	 4.89477795583113E-02 
387	 4.88591894397474E-02 
388	 5.16510285809572E-02 
389	 5.40425118885458E-02 
390	 5.23985997251824E-02 
391	 5.05842788096273E-02 
392	 5.07703455041897E-02 
393	 5.30596660888565E-02 
394	 5.57533210551411E-02 
395	 5.58640265282142E-02 
396	 5.60034286410491E-02 
397	 0.057975986478384 
398	 6.00114133436892E-02 
399	 6.11972443759525E-02 
400	 6.12794621383311E-02 
401	 6.08866473336572E-02 
402	 6.34785139404241E-02 
403	 6.48312594263219E-02 
404	 6.42093113291171E-02 
405	 6.47584948233295E-02 
406	 6.59397034197047E-02 
407	 6.73043505702123E-02 
408	 6.81953058362343E-02 
409	 6.72673963693228E-02 
410	 6.71001566458018E-02 
411	 6.80755952966893E-02 
412	 6.93775754865268E-02 
413	 7.02711048082865E-02 
414	 0.070012015263188 
415	 6.91890413218452E-02 
416	 6.99894250720505E-02 
417	 7.05613170362153E-02 
418	 7.06155961987132E-02 
419	 7.04832886178428E-02 
420	 7.13819632307561E-02 
421	 7.07233542378485E-02 
422	 6.94204732973184E-02 
423	 7.02744356620935E-02 
424	 7.02103572351084E-02 
425	 6.95991511371681E-02 
426	 6.91154207030842E-02 
427	 6.92196779553425E-02 
428	 6.86141516945474E-02 
429	 6.79320544154882E-02 
430	 6.80126119583325E-02 
431	 6.73360104738665E-02 
432	 6.69168805806023E-02 
433	 6.68948832019401E-02 
434	 6.65050255373143E-02 
435	 6.66883177063827E-02 
436	 6.69578961001115E-02 
437	 6.68786728717142E-02 
438	 6.67973953810872E-02 
439	 6.72891838952396E-02 
440	 6.80285421266543E-02 
441	 6.83146005834338E-02 
442	 6.85330640246279E-02 
443	 0.068738430662302 
444	 6.90268697762656E-02 
445	 6.96132898600426E-02 
446	 7.01780595936398E-02 
447	 7.05327291132145E-02 
448	 7.07040512353631E-02 
449	 7.14127477918503E-02 
450	 7.20362683569567E-02 
451	 7.24629230019661E-02 
452	 0.073026643948314 
453	 7.33291683143694E-02 
454	 7.33863053254561E-02 
455	 7.34600882850241E-02 
456	 7.42954908952275E-02 
457	 7.47967904774481E-02 
458	 7.48826501128263E-02 
459	 0.074958886671411 
460	 7.52178381037057E-02 
461	 7.54004599341489E-02 
462	 7.54790426450572E-02 
463	 7.58135924350387E-02 
464	 7.59731384282566E-02 
465	 7.61061385935611E-02 
466	 7.63890341452652E-02 
467	 7.64269826552935E-02 
468	 7.65339889013501E-02 
469	 7.66973223837653E-02 
470	 7.66490483807867E-02 
471	 7.66305326578389E-02 
472	 7.66241198601599E-02 
473	 7.66476612822768E-02 
474	 7.69151040185345E-02 
475	 7.73068754462681E-02 
476	 7.75059005626633E-02 
477	 7.72454959110565E-02 
478	 7.72670202004921E-02 
479	 7.73284559285453E-02 
480	 7.73282740707053E-02 
481	 7.74813535585887E-02 
482	 0.077763478577048 
483	 7.79237058962622E-02 
484	 7.78235269242997E-02 
485	 0.078046216100683 
486	 7.81481200503382E-02 
487	 7.80759996570142E-02 
488	 7.81134283616962E-02 
489	 7.82051484600604E-02 
490	 0.078225934043953 
491	 7.81526758667896E-02 
492	 7.82598342914226E-02 
493	 7.82615400728073E-02 
494	 7.82051835231752E-02 
495	 7.82826916646384E-02 
496	 7.85107152544343E-02 
497	 0.078625916675265 
498	 7.85708144122976E-02 
499	 0.078629594799954 
500	 7.85465675009465E-02 
501	 7.85325649334053E-02 
502	 7.87699006211747E-02 
503	 7.87105211066547E-02 
504	 7.86909837023395E-02 
505	 7.88128825918058E-02 
506	 7.89330898462738E-02 
507	 7.89299513386728E-02 
508	 7.89406094150259E-02 
509	 7.90502433730998E-02 
510	 7.90685334410154E-02 
511	 7.89934319831998E-02 
512	 7.89823787272252E-02 
513	 7.92117185017836E-02 
514	 7.91842080889419E-02 
515	 7.91094630614819E-02 
516	 7.91574255103828E-02 
517	 7.92977444193562E-02 
518	 7.94454634166576E-02 
519	 7.94950610617894E-02 
520	 7.94134299861487E-02 
521	 0.079533377260875 
522	 7.96682006853603E-02 
523	 7.97082896380581E-02 
524	 7.96591554844137E-02 
525	 7.96493305966803E-02 
526	 0.079678413059872 
527	 7.97158430055472E-02 
528	 7.97538020397679E-02 
529	 7.97250648281875E-02 
530	 7.96983004610185E-02 
531	 7.98086747214853E-02 
532	 7.98332353247171E-02 
533	 7.99047986729658E-02 
534	 8.00813407227956E-02 
535	 0.0801644949315 
536	 8.02159432939329E-02 
537	 8.02621109922124E-02 
538	 8.03115434350778E-02 
539	 8.02983066730181E-02 
540	 8.03652863997798E-02 
541	 8.05043900562264E-02 
542	 8.04861208275488E-02 
543	 0.080609394451451 
544	 8.07904468337941E-02 
545	 8.08864733857588E-02 
546	 8.09738418053307E-02 
547	 8.10027442324341E-02 
548	 8.10193994216956E-02 
549	 8.11433018775231E-02 
550	 0.081254384420988 
551	 8.13329233611395E-02 
552	 0.08140634346085 
553	 8.15892564218061E-02 
554	 8.16563100026381E-02 
555	 8.17081429849994E-02 
556	 8.19724136350267E-02 
557	 8.21314975492906E-02 
558	 8.22718009908704E-02 
559	 8.24727199228739E-02 
560	 8.27307492628746E-02 
561	 8.28739780766161E-02 
562	 8.30136216089492E-02 
563	 8.33100729442873E-02 
564	 8.35948539323246E-02 
565	 8.38594590186149E-02 
566	 8.41168259301498E-02 
567	 8.43934583242705E-02 
568	 8.47391725539927E-02 
569	 8.51056633419632E-02 
570	 8.54473205580261E-02 
571	 8.58141961968179E-02 
572	 8.61932716079598E-02 
573	 8.66063623849532E-02 
574	 8.70877063892843E-02 
575	 8.74973804369032E-02 
576	 8.79263554321783E-02 
577	 0.088428371103223 
578	 8.88943508049366E-02 
579	 8.93523090047631E-02 
580	 0.089858949420538 
581	 9.04653199487793E-02 
582	 9.10708914870124E-02 
583	 9.16395476942675E-02 
584	 9.21781457521559E-02 
585	 9.27443382523478E-02 
586	 0.093385461454815 
587	 9.40481999144304E-02 
588	 9.46730061263608E-02 
589	 9.53266233718254E-02 
590	 9.59917524697541E-02 
591	 9.66654926862159E-02 
592	 9.73618043263682E-02 
593	 9.80754779212469E-02 
594	 9.87816106258487E-02 
595	 9.94612302774541E-02 
596	 0.100123762895446 
597	 0.100761229262519 
598	 0.101375844764543 
599	 0.10198271333858 
600	 0.102633063133478 
601	 0.103287578394825 
602	 0.103919012159444 
603	 0.104546991944405 
604	 0.105141451797419 
605	 0.105699396750837 
606	 0.106238608290062 
607	 0.106827868399079 
608	 0.107382916596096 
609	 0.107887152887588 
610	 0.108410921633631 
611	 0.108890169836891 
612	 0.109350099260901 
613	 0.109807378200999 
614	 0.110182119035299 
615	 0.110521502140335 
616	 0.110868441365805 
617	 0.111252327931219 
618	 0.111616816434122 
619	 0.111913708804459 
620	 0.112148930490404 
621	 0.11243716138893 
622	 0.112718336886058 
623	 0.112965122857769 
624	 0.113173483428341 
625	 0.11341156797671 
626	 0.113660011353308 
627	 0.113897061523285 
628	 0.114107598235643 
629	 0.114309597771243 
630	 0.114515962396308 
631	 0.114734166444982 
632	 0.114962191817601 
633	 0.115141523084988 
634	 0.115284969211995 
635	 0.115462898297821 
636	 0.11566232660547 
637	 0.115872970844097 
638	 0.116076025035433 
639	 0.116231483542452 
640	 0.11638528568088 
641	 0.116569181413422 
642	 0.116795404634552 
643	 0.116991448681932 
644	 0.117166316108232 
645	 0.117345795179814 
646	 0.117568999444738 
647	 0.117723694658311 
648	 0.117904347631539 
649	 0.118200205045041 
650	 0.118415096900978 
651	 0.118598950522673 
652	 0.118798702141227 
653	 0.119047731092999 
654	 0.11927873309231 
655	 0.119514730638861 
656	 0.119771749516572 
657	 0.11999549857762 
658	 0.120293536623345 
659	 0.120620117186911 
660	 0.120872547989484 
661	 0.121133471431269 
662	 0.121418251926217 
663	 0.121725208764372 
664	 0.12203847262051 
665	 0.122326361984925 
666	 0.122605618820523 
667	 0.12290507769624 
668	 0.123234441219369 
669	 0.12357600424641 
670	 0.1239210453083 
671	 0.124269315493165 
672	 0.124620604277946 
673	 0.125023226610051 
674	 0.125473250746083 
675	 0.125821701358108 
676	 0.126183923880699 
677	 0.126569519490045 
678	 0.126949630867446 
679	 0.127356752974567 
680	 0.127784256809376 
681	 0.128224260846107 
682	 0.12867185582232 
683	 0.129132653371691 
684	 0.129602706554238 
685	 0.130075623790719 
686	 0.130544644418091 
687	 0.131039937706148 
688	 0.131553463995751 
689	 0.132049801372636 
690	 0.132522839049834 
691	 0.133023611114165 
692	 0.133569291636217 
693	 0.134099774923859 
694	 0.134576162948362 
695	 0.135075831769049 
696	 0.135679360135723 
697	 0.136221529836253 
698	 0.136742298289805 
699	 0.137282431030891 
700	 0.137866757121881 
701	 0.138438447138455 
702	 0.139008838254904 
703	 0.139593218874121 
704	 0.140178482940895 
705	 0.14073580759092 
706	 0.141275061786075 
707	 0.141824498859978 
708	 0.142374838454513 
709	 0.142934481913708 
710	 0.1435122098266 
711	 0.144118299706633 
712	 0.144690746013416 
713	 0.14523098813622 
714	 0.145766563090143 
715	 0.146342904390877 
716	 0.146900770680152 
717	 0.14742127002247 
718	 0.147921722772347 
719	 0.148447148260981 
720	 0.148965291002995 
721	 0.149454255573794 
722	 0.149939707189061 
723	 0.150393604421261 
724	 0.150809741885107 
725	 0.151204724908913 
726	 0.151665510172108 
727	 0.152079922115338 
728	 0.152424647131729 
729	 0.152768631059833 
730	 0.153144208410387 
731	 0.153497351952687 
732	 0.153791649493163 
733	 0.154070114272428 
734	 0.154358887738787 
735	 0.154607117973626 
736	 0.154761790254832 
737	 0.154976777042249 
738	 0.155163960933676 
739	 0.155297211652712 
740	 0.155435757999636 
741	 0.15553985610125 
742	 0.155601588839818 
743	 0.155632974803678 
744	 0.155685885722704 
745	 0.155680891657817 
746	 0.15563319293273 
747	 0.155596943657061 
748	 0.155549856810828 
749	 0.155446101920588 
750	 0.155313412287497 
751	 0.155265885744402 
752	 0.155142118013922 
753	 0.154962026818504 
754	 0.154775011990207 
755	 0.154582148016141 
756	 0.154392576555871 
757	 0.15417131618509 
758	 0.153880318971926 
759	 0.153632070729827 
760	 0.15337821633968 
761	 0.153080841256507 
762	 0.152736440184565 
763	 0.15244321859921 
764	 0.152142823361173 
765	 0.151785415526556 
766	 0.151461730391692 
767	 0.151131134113105 
768	 0.150780014472596 
769	 0.150409658622127 
770	 0.150025939365325 
771	 0.149641624590107 
772	 0.14924740837357 
773	 0.148810050641678 
774	 0.148432254060276 
775	 0.148063946662377 
776	 0.147650967805246 
777	 0.147219867655509 
778	 0.146848900959242 
779	 0.146484266836825 
780	 0.146034621241436 
781	 0.145603970101939 
782	 0.145184384857825 
783	 0.144765181660814 
784	 0.144344284077908 
785	 0.143956807015867 
786	 0.143578009889165 
787	 0.143182266497209 
788	 0.142764618400582 
789	 0.142404779070272 
790	 0.142026533419811 
791	 0.141544427472401 
792	 0.141150412532436 
793	 0.140801586355214 
794	 0.14044733506 
795	 0.140043678677136 
796	 0.139566117076819 
797	 0.139167297221455 
798	 0.138897769637475 
799	 0.138580866646356 
800	 0.138190293936318 
801	 0.137783710085975 
802	 0.137425389861319 
803	 0.137070359685242 
804	 0.136745143062397 
805	 0.136434590460885 
806	 0.136101264919091 
807	 0.135760211595523 
808	 0.135416636172797 
809	 0.135089411285973 
810	 0.134812293197395 
811	 0.134519094355997 
812	 0.134195579853994 
813	 0.13386384207284 
814	 0.133608187004863 
815	 0.1333495843519 
816	 0.133060140684962 
817	 0.132751236956063 
818	 0.132510384999004 
819	 0.132278611307917 
820	 0.132025673395463 
821	 0.131757292190432 
822	 0.131495476592772 
823	 0.131251192226873 
824	 0.13102839336917 
825	 0.130822281112316 
826	 0.130655773387214 
827	 0.130465712617745 
828	 0.130210603058272 
829	 0.129988061664452 
830	 0.12977279443654 
831	 0.129577878357374 
832	 0.129426334970098 
833	 0.129302307114439 
834	 0.129135603631105 
835	 0.128926085171849 
836	 0.128743739802887 
837	 0.128630729239531 
838	 0.12849873630609 
839	 0.128315143103911 
840	 0.128179581999447 
841	 0.128024556584561 
842	 0.127883212547657 
843	 0.127793117009264 
844	 0.127729222246404 
845	 0.127616447870022 
846	 0.127470207960078 
847	 0.127354341625889 
848	 0.127317271628661 
849	 0.127290209422691 
850	 0.12720995837826 
851	 0.127048967879039 
852	 0.1270036562122 
853	 0.126967016909988 
854	 0.126884982004355 
855	 0.126844526430673 
856	 0.126822541298256 
857	 0.12677401336054 
858	 0.126699883726183 
859	 0.126739014670381 
860	 0.126722591296735 
861	 0.126682660839655 
862	 0.126692495020635 
863	 0.126663943943778 
864	 0.126642566649882 
865	 0.126650027807372 
866	 0.12668365105779 
867	 0.126706354575041 
868	 0.126716364511844 
869	 0.126743912905594 
870	 0.126836664222865 
871	 0.126886961791475 
872	 0.126939166382188 
873	 0.127008516648318 
874	 0.1270236518528 
875	 0.127062101110707 
876	 0.127118326318473 
877	 0.127187216876033 
878	 0.127321405975001 
879	 0.127499673651096 
880	 0.127628259959766 
881	 0.127656593257575 
882	 0.127811704843266 
883	 0.127927836428763 
884	 0.127995919511366 
885	 0.128097221497837 
886	 0.128243267793966 
887	 0.128409522966964 
888	 0.128566841501502 
889	 0.128693401283946 
890	 0.128832484766895 
891	 0.128983184904491 
892	 0.129165493498721 
893	 0.129422130036597 
894	 0.129586563620425 
895	 0.129729944116375 
896	 0.12992307072329 
897	 0.130145850467329 
898	 0.130364754857319 
899	 0.130594082432592 
900	 0.130840474662724 
901	 0.13105198900978 
902	 0.131281699249159 
903	 0.13151922256275 
904	 0.131747653133972 
905	 0.132016209821627 
906	 0.13226037183011 
907	 0.132505457445093 
908	 0.132806377794836 
909	 0.133125435433243 
910	 0.133462474924577 
911	 0.133767984606314 
912	 0.133990724194905 
913	 0.134283963371932 
914	 0.13459273319246 
915	 0.134906401392637 
916	 0.135262571273223 
917	 0.135610247011913 
918	 0.135941038131923 
919	 0.136272935572352 
920	 0.136642147424709 
921	 0.137027121886701 
922	 0.137444160459974 
923	 0.137869058901243 
924	 0.138220846084086 
925	 0.138609933120415 
926	 0.139084641328367 
927	 0.139582352409261 
928	 0.139876697803908 
929	 0.140347843892477 
930	 0.140875746184983 
931	 0.141296633702986 
932	 0.141655620196609 
933	 0.142150116087695 
934	 0.142703544796829 
935	 0.143207200661479 
936	 0.143734641013776 
937	 0.144146466872826 
938	 0.144540463187967 
939	 0.14505948207395 
940	 0.145709229458569 
941	 0.146299935905307 
942	 0.146813110941957 
943	 0.147319445133717 
944	 0.147902652348012 
945	 0.148466310833531 
946	 0.149067072503877 
947	 0.149757242422224 
948	 0.150242659462595 
949	 0.150842239704251 
950	 0.151526405719241 
951	 0.152115172627765 
952	 0.152706611178544 
