Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3161,Mining,20.85,19.99,,,,"Tue Mar 12, 2024 - 05:35:35",User,1.5,ppm,,,,,180-647,Mining,<LOD,7.5984,<LOD,1.0227,<LOD,3.7073,1000000.0000 , 132.1175,<LOD,1.3856,<LOD,9.0185,<LOD,8.4943,<LOD,42.2385,<LOD,4.0350,<LOD,15.2879,<LOD,0.0000,<LOD,1.9842,<LOD,23.7138,<LOD,1.1120,<LOD,0.9030,<LOD,5.5645,<LOD,1.1322,<LOD,7.9718,<LOD,0.7267,<LOD,0.0000,<LOD,15.6537,<LOD,0.9356,<LOD,10.1852,<LOD,0.3170,<LOD,0.0000,<LOD,1.9157,<LOD,171.2802,<LOD,1.3284,<LOD,81.8003,<LOD,0.0000,<LOD,0.6417,<LOD,2.2239,<LOD,0.7374,
3162,Mining,19.58,19.44,,,,"Tue Mar 12, 2024 - 05:36:07",User,1.5,ppm,,,,,180-647,Mining,<LOD,7.9602,<LOD,1.1605,<LOD,3.5442,1000000.0000 , 139.3515,<LOD,1.4613,<LOD,9.4357,<LOD,8.4796,<LOD,44.1466,<LOD,4.2456,<LOD,16.2742,<LOD,0.0000,<LOD,1.9873,<LOD,25.3111,<LOD,1.1742,<LOD,0.9393,<LOD,5.8045,<LOD,1.2404,<LOD,11.1062,<LOD,0.7580,<LOD,0.0000,<LOD,16.3891,<LOD,0.9121,<LOD,10.6611,<LOD,0.3432,<LOD,0.0000,<LOD,1.8919,<LOD,180.4877,<LOD,1.4165,<LOD,86.2374,<LOD,0.0000,<LOD,0.6478,<LOD,2.2974,<LOD,0.7524,
3163,Mining,20.41,19.84,,,,"Tue Mar 12, 2024 - 05:36:36",User,1.5,ppm,,,,,180-647,Mining,<LOD,7.8160,<LOD,1.0642,<LOD,3.7389,1000000.0000 , 133.4313,<LOD,1.4794,<LOD,9.2737,<LOD,8.7723,<LOD,43.9752,<LOD,3.8997,<LOD,15.8103,<LOD,0.0000,<LOD,1.9679,<LOD,23.4768,<LOD,1.1386,<LOD,0.9059,<LOD,6.0186,<LOD,1.1698,<LOD,12.1767,<LOD,0.7297,<LOD,0.0000,<LOD,16.1027,<LOD,0.9659,<LOD,10.4847,<LOD,0.3177,<LOD,0.0000,<LOD,1.3591,<LOD,170.4956,<LOD,1.3585,<LOD,86.0405,<LOD,0.0000,<LOD,0.6444,<LOD,2.3050,<LOD,1.1297,
3164,Mining,19.76,19.34,,,,"Tue Mar 12, 2024 - 05:37:46",User,1.5,ppm,,,,,180-706,Mining,<LOD,15.0947,52.8015 , 7.7523,<LOD,6.7638,977807.6875 , 292.5281,<LOD,3.6305,<LOD,11.2482,<LOD,52.9631,46.1899 , 37.6493,250.7866 , 8.3320,16232.4492 , 110.3681,<LOD,0.0000,<LOD,5.0184,983.7970 , 45.0483,13.6681 , 1.2389,26.0511 , 1.0599,48.3598 , 7.1592,970.9091 , 7.7657,27.0180 , 6.6513,161.6999 , 2.5575,<LOD,0.0000,21.3698 , 17.3894,<LOD,1.8497,<LOD,12.8786,150.1541 , 1.2362,<LOD,0.0000,8.8674 , 2.8570,1825.5201 , 178.4834,<LOD,4.2290,204.5219 , 79.3718,<LOD,12.9188,33.3854 , 1.5392,893.9264 , 11.5458,240.8236 , 2.2867,
3165,Mining,19.19,19.31,,,,"Tue Mar 12, 2024 - 05:38:54",User,1.5,ppm,,,,,180-706,Mining,8.3016 , 7.3028,40.4095 , 8.0847,<LOD,7.0685,977912.3125 , 303.6927,<LOD,4.7810,<LOD,11.8078,<LOD,55.7548,46.3773 , 39.5580,246.4469 , 8.6880,16314.8359 , 115.9800,<LOD,0.0000,3.8963 , 2.5843,956.5958 , 46.7606,12.8649 , 1.2973,28.1788 , 1.1265,52.8000 , 7.6504,975.4214 , 8.1672,26.2691 , 6.9725,164.1851 , 2.6951,<LOD,0.0000,22.1797 , 18.0482,<LOD,1.9130,<LOD,13.3320,150.8584 , 1.3001,<LOD,0.0000,11.9281 , 3.0618,1656.6453 , 183.4967,<LOD,3.0359,218.4672 , 83.1514,<LOD,13.7999,32.2805 , 1.6130,872.0969 , 11.9735,246.6479 , 2.4253,
3166,Mining,19.50,19.39,,,,"Tue Mar 12, 2024 - 05:39:22",User,1.5,ppm,,,,,180-706,Mining,<LOD,9.6840,40.2334 , 7.7588,<LOD,6.6929,977114.3125 , 299.7498,<LOD,4.8430,<LOD,11.8039,<LOD,53.4345,62.4277 , 38.2383,238.2460 , 8.1896,16655.7930 , 111.7529,<LOD,0.0000,<LOD,4.4147,985.8832 , 45.1921,12.4230 , 1.2701,26.1940 , 1.0791,56.3345 , 7.3375,985.8633 , 7.8420,30.6782 , 6.7047,165.0844 , 2.5946,<LOD,0.0000,18.1129 , 14.7392,<LOD,1.8152,<LOD,12.8215,150.0801 , 1.2393,<LOD,0.0000,8.4751 , 2.8985,2032.9717 , 182.8295,3.7418 , 1.7806,190.8546 , 79.6685,<LOD,13.0410,33.1734 , 1.5520,911.3090 , 11.6759,271.5229 , 2.4091,
3167,Mining,19.69,19.68,,,,"Tue Mar 12, 2024 - 05:40:46",User,1.5,ppm,,,,,180-649a,Mining,<LOD,9.1902,7.7571 , 3.6680,<LOD,5.0499,973026.0625 , 325.2821,<LOD,2.1975,<LOD,10.8213,<LOD,58.9496,<LOD,58.4882,55.5966 , 4.9478,21366.2363 , 120.6202,<LOD,0.0000,<LOD,2.7179,631.5953 , 37.4229,<LOD,3.0481,61.4406 , 1.3057,11.6918 , 6.2804,214.3458 , 3.7682,<LOD,9.4587,126.1302 , 2.2423,<LOD,0.0000,<LOD,18.9716,<LOD,1.3572,<LOD,12.3464,147.6427 , 1.2021,<LOD,0.0000,20.3451 , 2.0600,3282.6411 , 198.7993,2.8087 , 1.6644,185.5972 , 80.5080,<LOD,0.0000,54.2237 , 1.4202,237.8368 , 6.1108,568.0503 , 3.2489,
3168,Mining,20.16,19.76,,,,"Tue Mar 12, 2024 - 05:41:13",User,1.5,ppm,,,,,180-649a,Mining,<LOD,9.1350,9.2984 , 3.6030,<LOD,4.8635,974625.7500 , 315.6496,<LOD,2.2986,<LOD,10.7646,<LOD,57.3560,<LOD,65.7761,53.3845 , 4.9105,20121.4629 , 118.0693,<LOD,0.0000,<LOD,3.1650,592.6492 , 36.7863,<LOD,3.2058,56.7413 , 1.2724,12.5770 , 6.2061,202.7755 , 3.6740,<LOD,9.3481,121.8090 , 2.2099,<LOD,0.0000,<LOD,18.8700,<LOD,1.3130,<LOD,12.2430,141.1231 , 1.1781,<LOD,0.0000,15.7657 , 2.0090,3054.2656 , 196.2673,2.8490 , 1.6535,167.1398 , 79.8809,<LOD,0.0000,49.5995 , 1.3821,220.5226 , 5.9204,552.2361 , 3.2050,
3169,Mining,20.17,19.44,,,,"Tue Mar 12, 2024 - 05:41:39",User,1.5,ppm,,,,,180-649a,Mining,<LOD,8.9681,10.3696 , 3.5194,<LOD,5.0469,974883.8125 , 309.5640,<LOD,2.3034,<LOD,10.5587,<LOD,59.6847,<LOD,61.9422,44.6566 , 4.6473,19884.0195 , 115.7451,<LOD,0.0000,<LOD,2.6559,592.5254 , 36.2100,<LOD,2.1184,59.4774 , 1.2697,18.9545 , 6.3965,197.3401 , 3.5773,<LOD,9.1688,121.4412 , 2.1704,<LOD,0.0000,<LOD,18.5250,<LOD,1.3379,<LOD,12.0354,140.0563 , 1.1553,<LOD,0.0000,18.1872 , 2.0288,3085.9988 , 193.9206,2.4381 , 1.6131,121.4698 , 77.4882,<LOD,0.0000,51.5278 , 1.3705,216.6599 , 5.7796,551.0897 , 3.1520,
3170,Mining,19.33,19.22,,,,"Tue Mar 12, 2024 - 05:43:01",User,1.5,ppm,,,,,180-661,Mining,240.8389 , 211.7154,347.1245 , 8.2147,75.4100 , 10.8881,976647.8750 , 320.3504,<LOD,4.0279,473.5426 , 189.3483,<LOD,53.8229,441.3882 , 50.1588,15.8145 , 4.1169,16838.0586 , 112.9942,<LOD,0.0000,<LOD,3.5255,70.0417 , 26.0716,<LOD,1.7905,11.2161 , 0.9208,18.3575 , 6.3366,608.4749 , 6.9191,22.1758 , 6.7317,68.0975 , 1.7779,<LOD,0.0000,<LOD,20.1308,427.6374 , 5.5390,<LOD,13.1432,82.8251 , 0.9452,<LOD,0.0000,3.8886 , 2.6296,3097.3569 , 204.3948,<LOD,2.2557,134.0825 , 82.4916,<LOD,8.9940,23.1296 , 1.2574,44.7171 , 3.3651,307.9222 , 2.4961,
