Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,
3932,Mining,19.93,19.22,,,,"Fri Mar 7, 2025 - 05:04:50",User,1.5,ppm,,,,,test,Mining,<LOD,15.7096,<LOD,3.9230,<LOD,5.3573,870837.3750 , 865.8268,<LOD,2.3550,<LOD,13.2636,<LOD,130.0489,7191.1489 , 117.8850,11.7082 , 6.7946,117691.6328 , 226.0278,<LOD,0.0000,<LOD,2.8913,2798.2080 , 76.0569,<LOD,1.6530,<LOD,1.3364,1310.6130 , 27.4534,18.3339 , 1.7415,<LOD,11.3248,<LOD,1.0993,<LOD,0.0000,<LOD,23.4641,<LOD,1.4117,<LOD,15.3278,21.7629 , 0.6307,<LOD,0.0000,<LOD,1.6351,<LOD,178.9440,<LOD,2.0484,<LOD,149.1618,<LOD,0.0000,<LOD,1.2726,113.8675 , 5.2562,5.3555 , 0.8602,,,,,
3933,Mining,20.14,19.98,,,,"Fri Mar 7, 2025 - 05:10:49",User,1.5,ppm,,,,,LA 24_22,Mining,239.2706 , 210.2337,2621.1553 , 76.4012,<LOD,50.5252,655694.1250 , 3337.3076,99.5817 , 19.5697,<LOD,24.4133,<LOD,262.6733,<LOD,98.2082,1034.5311 , 28.5471,303762.0000 , 417.9824,<LOD,0.0000,40.9546 , 12.3799,719.2913 , 57.5288,7.2912 , 2.2787,9.2697 , 2.2388,173.1037 , 36.6792,29277.7637 , 75.2163,<LOD,25.0062,10.5043 , 3.8394,<LOD,0.0000,557.9839 , 453.5064,42.9440 , 9.1717,1314.0848 , 22.3282,7.9410 , 1.7598,<LOD,0.0000,<LOD,37.5015,1376.8541 , 149.0983,<LOD,7.2336,<LOD,150.3580,<LOD,40.0049,<LOD,14.3592,2977.9470 , 37.4593,33.3683 , 3.8820,,,,,
3934,Mining,19.11,19.17,,,,"Fri Mar 7, 2025 - 05:12:13",User,1.5,ppm,,,,,LA 24_22,Mining,<LOD,9.1227,253.4367 , 13.5316,<LOD,9.3149,926795.0625 , 482.6768,9.3359 , 3.5826,<LOD,11.0093,<LOD,88.9313,<LOD,40.2336,139.7847 , 6.3519,68739.0625 , 169.5475,<LOD,0.0000,14.4443 , 2.9372,182.6688 , 24.7644,8.2550 , 1.0420,11.1122 , 0.9155,43.0352 , 7.8775,3202.8936 , 13.4298,<LOD,9.8491,<LOD,2.2427,<LOD,0.0000,<LOD,18.8435,<LOD,3.3799,<LOD,12.2768,5.6551 , 0.4417,<LOD,0.0000,<LOD,6.5809,<LOD,150.0531,4.5622 , 1.5207,<LOD,71.5140,<LOD,10.7955,<LOD,3.8577,578.6926 , 8.9684,12.0195 , 0.9305,,,,,
3935,Mining,19.97,19.32,,,,"Fri Mar 7, 2025 - 05:12:55",User,1.5,ppm,,,,,LA 24_22,Mining,202.6010 , 178.0613,3048.8914 , 76.1772,<LOD,49.1369,649835.5000 , 3260.5266,97.7830 , 19.4835,<LOD,23.9917,<LOD,262.8592,<LOD,95.9017,1233.4728 , 30.8977,308812.2500 , 410.7702,<LOD,0.0000,56.7853 , 12.7410,1154.2446 , 64.0057,9.8331 , 2.3269,10.3315 , 2.2492,233.3640 , 37.1921,28333.3008 , 74.3498,<LOD,20.6282,16.5481 , 3.8562,<LOD,0.0000,423.2166 , 344.0639,42.9248 , 9.0456,1162.4048 , 22.0761,7.5431 , 1.7376,<LOD,0.0000,<LOD,37.1775,1066.7795 , 140.3964,<LOD,7.0578,<LOD,149.3415,<LOD,44.4310,<LOD,14.1335,4219.7705 , 44.3294,32.4185 , 3.8533,,,,,
3936,Mining,20.55,19.84,,,,"Fri Mar 7, 2025 - 05:15:33",User,1.5,ppm,,,,,LA 24_30,Mining,125.2725 , 110.1753,906.0330 , 60.3126,<LOD,38.6393,696781.9375 , 2393.6555,55.3131 , 15.2017,<LOD,20.4946,<LOD,223.9181,<LOD,80.4190,735.9902 , 21.5771,274526.1250 , 356.2465,<LOD,0.0000,<LOD,12.8665,<LOD,68.3218,5.7678 , 1.9199,24.6192 , 1.7816,190.2280 , 29.7548,24952.0801 , 61.1156,<LOD,17.3698,<LOD,4.5940,<LOD,0.0000,50.1304 , 40.7829,<LOD,9.9468,242.6867 , 16.7456,<LOD,1.8825,<LOD,0.0000,<LOD,29.4762,386.1423 , 112.8347,<LOD,5.2017,<LOD,161.9544,<LOD,25.6317,<LOD,10.7083,993.9221 , 19.6710,23.7327 , 2.9949,,,,,
3937,Mining,19.72,19.26,,,,"Fri Mar 7, 2025 - 05:16:21",User,1.5,ppm,,,,,LA 24_30,Mining,132.7945 , 116.7629,792.8655 , 61.0588,<LOD,38.7700,633196.3750 , 3298.3704,68.5158 , 15.7248,<LOD,22.6776,<LOD,260.9932,<LOD,92.3182,681.5449 , 23.8660,342975.3438 , 405.9898,<LOD,0.0000,<LOD,19.6963,<LOD,70.1741,<LOD,3.3860,18.6924 , 1.9268,248.3721 , 39.6866,19754.4648 , 62.2731,<LOD,19.0975,<LOD,4.0640,<LOD,0.0000,199.5679 , 162.3170,<LOD,10.1563,266.6563 , 18.5754,<LOD,2.0368,<LOD,0.0000,<LOD,29.0660,605.1671 , 119.5899,<LOD,4.9648,<LOD,138.8078,<LOD,31.7013,<LOD,10.9123,1035.2831 , 22.7293,24.3508 , 2.9397,,,,,
3938,Mining,19.56,19.14,,,,"Fri Mar 7, 2025 - 05:16:56",User,1.5,ppm,,,,,LA 24_30,Mining,89.6678 , 78.8721,1497.9987 , 55.2896,<LOD,35.4043,682312.0625 , 2595.4800,78.8212 , 14.3643,<LOD,20.5580,<LOD,238.3848,<LOD,84.3632,988.8000 , 25.8251,295472.1562 , 373.5929,<LOD,0.0000,<LOD,12.7940,<LOD,75.3257,<LOD,2.7340,19.1926 , 1.7021,96.8021 , 33.1963,17561.5996 , 54.8574,<LOD,17.2311,<LOD,3.4667,<LOD,0.0000,<LOD,37.6027,<LOD,9.2013,150.2339 , 16.7037,<LOD,2.3143,<LOD,0.0000,<LOD,26.4821,397.0895 , 113.6132,<LOD,4.5555,<LOD,126.7479,<LOD,27.9725,<LOD,9.2442,1329.5334 , 23.7947,6.0334 , 2.5307,,,,,
3939,Mining,20.03,19.98,,,,"Fri Mar 7, 2025 - 05:20:28",User,1.5,ppm,,,,,LA 24_9,Mining,<LOD,9.7079,303.0539 , 23.3799,<LOD,15.4808,976907.0625 , 292.3496,55.7393 , 6.2362,<LOD,11.5169,<LOD,39.4267,<LOD,51.1226,21.9911 , 4.2210,8891.3994 , 84.7526,<LOD,0.0000,36.5443 , 4.2717,<LOD,29.2149,3.2390 , 1.1072,15.7701 , 0.9854,<LOD,7.9653,9991.4717 , 23.1502,<LOD,11.0056,38.9608 , 1.7335,<LOD,0.0000,<LOD,20.7165,<LOD,4.0224,<LOD,17.8288,19.2671 , 0.7010,<LOD,0.0000,<LOD,11.7321,3557.7026 , 209.6692,2.8255 , 1.9241,<LOD,117.7400,<LOD,10.8880,<LOD,4.1822,70.8879 , 3.8947,84.1283 , 1.7190,,,,,
3940,Mining,20.38,19.98,,,,"Fri Mar 7, 2025 - 05:21:04",User,1.5,ppm,,,,,LA 24_9,Mining,<LOD,6.2319,<LOD,10.3026,<LOD,5.0514,996841.1875 , 114.6089,<LOD,2.7885,<LOD,7.5755,<LOD,13.8365,<LOD,31.6392,<LOD,3.2089,1604.3348 , 30.6971,<LOD,0.0000,10.3345 , 1.7878,<LOD,17.0521,5.3368 , 0.7295,7.6404 , 0.6276,<LOD,4.8703,1440.0840 , 7.0830,<LOD,6.7634,4.3861 , 0.6357,<LOD,0.0000,<LOD,12.8397,<LOD,1.3081,<LOD,8.2737,4.5536 , 0.2890,<LOD,0.0000,<LOD,3.3221,<LOD,143.4128,1.7520 , 0.9942,<LOD,61.5170,<LOD,5.5167,<LOD,1.4087,65.9049 , 2.7409,14.4934 , 0.6448,,,,,
3941,Mining,19.76,19.72,,,,"Fri Mar 7, 2025 - 05:21:37",User,1.5,ppm,,,,,LA 24_9,Mining,38.8789 , 34.1869,653.1689 , 39.6656,<LOD,26.4073,953364.8125 , 478.8960,117.3898 , 10.6119,<LOD,14.8601,<LOD,62.5361,<LOD,83.7922,49.9215 , 6.0437,16386.4453 , 128.2743,<LOD,0.0000,42.8786 , 6.4382,<LOD,56.0842,<LOD,3.3972,32.2440 , 1.4547,<LOD,12.1704,21297.6250 , 39.1852,<LOD,12.8932,90.4514 , 3.0440,<LOD,0.0000,270.4102 , 219.9463,<LOD,6.8479,502.3565 , 12.3968,39.4738 , 1.1969,<LOD,0.0000,<LOD,20.3331,6621.8198 , 289.5541,<LOD,6.3379,201.6451 , 104.3912,<LOD,13.4822,<LOD,7.5976,85.6281 , 5.1241,204.8469 , 3.1620,,,,,
