Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3007,Mining,150.81,26.27,59.75,59.90,,"Thu Feb 29, 2024 - 09:24:19",User,1.5,ppm,,,,,180-647,Mining,<LOD,0.9957,<LOD,1.5532,<LOD,3.1473,135.2352 , 72.4376,999440.4375 , 29.4137,<LOD,1.2458,6.5575 , 4.2607,<LOD,1.5948,<LOD,8.8291,23.4069 , 1.8901,<LOD,3.2741,280.2188 , 15.1835,<LOD,0.0000,<LOD,1.7149,101.2311 , 11.4596,<LOD,20.4676,<LOD,0.9704,<LOD,0.7786,<LOD,4.9892,<LOD,1.0832,<LOD,0.8926,<LOD,0.6329,<LOD,0.0000,<LOD,2.9707,<LOD,0.8191,5.8207 , 1.5526,<LOD,0.2870,<LOD,0.0000,<LOD,1.3892,7.0390 , 3.7666,<LOD,1.1639,<LOD,1.6513,<LOD,0.0000,<LOD,0.5461,<LOD,1.8736,<LOD,0.6412,
3008,Mining,151.48,26.59,59.94,59.04,,"Thu Feb 29, 2024 - 09:27:33",User,1.5,ppm,,,,,180-647,Mining,<LOD,1.0099,<LOD,1.1718,<LOD,3.1505,140.2843 , 75.1418,999655.6875 , 28.0023,<LOD,1.2625,<LOD,7.2535,<LOD,1.5907,<LOD,8.5717,17.6481 , 1.8369,<LOD,3.6032,145.0907 , 12.8709,<LOD,0.0000,<LOD,1.7706,21.5268 , 10.1427,<LOD,21.2415,<LOD,0.9799,<LOD,0.7941,<LOD,5.1806,4.6505 , 0.8257,<LOD,0.9054,<LOD,0.6344,<LOD,0.0000,<LOD,2.9845,<LOD,0.8406,6.3967 , 1.5658,<LOD,0.2858,<LOD,0.0000,<LOD,1.1802,8.7115 , 3.6540,<LOD,1.1805,<LOD,1.6471,<LOD,0.0000,<LOD,0.5574,<LOD,1.9423,<LOD,0.6534,
3009,Mining,19.55,19.47,,,,"Thu Feb 29, 2024 - 09:29:03",User,1.5,ppm,,,,,180-647,Mining,<LOD,6.9220,<LOD,4.8698,<LOD,3.7564,,,999622.1250 , 114.6334,<LOD,1.7311,,,<LOD,8.2573,<LOD,8.2610,<LOD,38.6506,<LOD,3.4799,81.0263 , 12.2957,<LOD,0.0000,<LOD,1.8613,,,<LOD,22.0357,<LOD,1.0499,<LOD,0.8524,<LOD,5.1563,296.8295 , 3.6196,<LOD,7.0801,<LOD,0.7005,<LOD,0.0000,<LOD,14.2237,<LOD,0.9655,<LOD,9.2410,<LOD,0.3125,<LOD,0.0000,<LOD,2.1190,<LOD,145.3352,<LOD,1.2553,<LOD,73.6130,<LOD,0.0000,<LOD,0.7780,<LOD,2.1074,<LOD,0.7022,
3010,Mining,19.44,18.86,,,,"Thu Feb 29, 2024 - 09:30:52",User,1.5,ppm,,,,,180-706,Mining,7.8416 , 6.6330,47.8530 , 8.0014,<LOD,6.5915,,,977043.6875 , 307.7167,<LOD,4.3265,,,<LOD,11.6416,<LOD,55.8704,<LOD,76.2003,255.3070 , 8.6308,16921.9062 , 115.4526,<LOD,0.0000,<LOD,5.5490,,,1006.4400 , 46.6048,11.3509 , 1.3017,26.1072 , 1.1086,45.8570 , 7.4170,985.5233 , 8.0483,28.4438 , 6.8752,165.8629 , 2.6681,<LOD,0.0000,<LOD,32.6717,<LOD,1.8192,<LOD,13.1612,149.9967 , 1.2719,<LOD,0.0000,8.7200 , 2.9665,1780.3531 , 182.0991,3.7613 , 1.8305,288.6133 , 83.8818,<LOD,14.2046,34.2188 , 1.6006,910.6807 , 11.9841,277.4525 , 2.4953,
3011,Mining,19.67,19.55,,,,"Thu Feb 29, 2024 - 09:31:30",User,1.5,ppm,,,,,180-706,Mining,6.8713 , 6.4005,52.3141 , 7.7620,<LOD,6.8379,,,977309.5000 , 296.7096,<LOD,3.4229,,,<LOD,13.7956,<LOD,53.1290,<LOD,77.0755,261.3878 , 8.4445,16648.4961 , 111.0683,<LOD,0.0000,<LOD,6.1349,,,963.8794 , 44.4270,13.6700 , 1.2655,26.6608 , 1.0794,50.1720 , 7.1489,982.1403 , 7.7834,22.9428 , 6.6217,166.0569 , 2.5872,<LOD,0.0000,13.5667 , 13.3000,<LOD,1.8156,<LOD,12.6868,152.6659 , 1.2422,<LOD,0.0000,11.1007 , 2.8743,1867.8212 , 178.3899,3.6892 , 1.7805,226.8132 , 79.7694,<LOD,13.4968,35.6503 , 1.5575,919.8491 , 11.6664,264.7789 , 2.3731,
3012,Mining,19.49,19.59,,,,"Thu Feb 29, 2024 - 09:32:13",User,1.5,ppm,,,,,180-706,Mining,7.6329 , 6.5597,45.6167 , 8.0224,<LOD,7.1668,,,977195.1250 , 302.3955,<LOD,3.5261,,,<LOD,11.5158,<LOD,54.7308,63.6973 , 39.7563,260.0267 , 8.6435,16653.7852 , 113.9719,<LOD,0.0000,<LOD,4.9325,,,947.9152 , 45.3964,14.1418 , 1.3011,26.7031 , 1.1050,52.0895 , 7.4329,1008.8500 , 8.0852,18.7050 , 6.7704,165.9068 , 2.6529,<LOD,0.0000,13.9052 , 13.6255,<LOD,1.9431,<LOD,13.0084,153.5724 , 1.2775,<LOD,0.0000,6.6928 , 2.9138,1769.4001 , 180.7912,3.7298 , 1.8247,365.3110 , 85.6324,<LOD,15.9457,33.7828 , 1.5925,928.4761 , 12.0179,264.9408 , 2.4330,
3013,Mining,20.55,19.84,,,,"Thu Feb 29, 2024 - 09:33:23",User,1.5,ppm,,,,,180-661,Mining,235.9641 , 207.4331,336.4601 , 8.0462,60.0128 , 10.3988,,,977014.5625 , 316.2278,<LOD,3.8953,,,465.1348 , 185.9890,<LOD,53.2650,357.3060 , 47.5847,6.1774 , 3.7908,16494.1172 , 110.9239,<LOD,0.0000,<LOD,3.3478,,,97.3269 , 26.2730,<LOD,1.7862,11.8513 , 0.9171,11.3621 , 6.1793,602.4189 , 6.7963,22.2368 , 6.6551,65.1687 , 1.7327,<LOD,0.0000,<LOD,19.8654,415.3037 , 5.3834,<LOD,12.9556,80.7037 , 0.9237,<LOD,0.0000,4.0881 , 2.5583,3154.3538 , 203.4878,<LOD,2.8636,187.1689 , 83.4319,<LOD,9.1496,22.7120 , 1.2341,42.3130 , 3.2616,313.2712 , 2.4853,
3014,Mining,20.32,19.92,,,,"Thu Feb 29, 2024 - 09:33:59",User,1.5,ppm,,,,,180-661,Mining,193.1306 , 169.7980,301.9280 , 7.2998,56.4252 , 9.5254,,,978985.6250 , 285.6378,<LOD,4.4497,,,406.1939 , 162.4394,<LOD,49.6761,447.4821 , 47.7038,15.1705 , 3.8233,15524.8604 , 103.7612,<LOD,0.0000,<LOD,3.1847,,,48.9707 , 23.9975,<LOD,1.6673,10.8063 , 0.8555,<LOD,12.1104,539.7031 , 6.1652,17.3004 , 6.3156,58.7119 , 1.5702,<LOD,0.0000,<LOD,18.6893,375.1694 , 4.9046,<LOD,12.2163,71.1000 , 0.8335,<LOD,0.0000,<LOD,4.6615,2457.4319 , 183.0224,<LOD,2.0404,136.4571 , 76.5816,<LOD,8.2011,17.7908 , 1.1112,45.9046 , 3.1806,289.8498 , 2.2824,
3015,Mining,19.96,19.93,,,,"Thu Feb 29, 2024 - 09:35:01",User,1.5,ppm,,,,,180-649,Mining,<LOD,9.5215,7.9010 , 3.7597,<LOD,5.3131,,,972474.0625 , 335.1934,<LOD,2.4523,,,<LOD,11.1907,<LOD,60.2767,51.4277 , 37.2361,61.7291 , 5.1533,21797.6562 , 122.8193,<LOD,0.0000,<LOD,2.7479,,,630.3936 , 37.9735,<LOD,2.8071,61.5671 , 1.3271,15.4837 , 6.5426,220.3971 , 3.8627,17.1485 , 6.5941,125.2568 , 2.2708,<LOD,0.0000,<LOD,19.6650,<LOD,1.4586,<LOD,12.7934,147.8924 , 1.2167,<LOD,0.0000,18.8333 , 2.1473,3334.9321 , 202.0146,4.4897 , 1.7296,177.1205 , 81.3431,<LOD,0.0000,57.0532 , 1.4551,231.3782 , 6.1084,565.2595 , 3.2784,
3016,Mining,21.08,,,,,"Thu Feb 29, 2024 - 09:35:37",User,1.5,ppm,,,,,180-649,Mining,<LOD,9.4804,12.0584 , 3.8930,5.1736 , 3.7131,,,971817.3125 , 336.7117,<LOD,2.3014,,,<LOD,11.1301,<LOD,82.5083,57.5388 , 37.3064,61.3909 , 5.1104,22367.1953 , 123.3355,<LOD,0.0000,<LOD,3.2676,,,670.5667 , 38.5259,4.2112 , 1.4210,66.0887 , 1.3458,10.8150 , 6.5012,236.2723 , 3.9621,13.5730 , 6.5454,132.7703 , 2.3170,<LOD,0.0000,<LOD,19.5855,<LOD,1.4550,<LOD,12.6920,160.0450 , 1.2557,<LOD,0.0000,22.9565 , 2.1670,3252.0110 , 198.8681,3.8263 , 1.7367,213.5108 , 81.4243,<LOD,0.0000,54.8523 , 1.4495,242.6169 , 6.2037,595.2086 , 3.3446,
