Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3085,Mining,19.37,19.12,,,,"Fri Mar 1, 2024 - 05:28:20",User,1.5,ppm,,,,,180-647,Mining,<LOD,7.2730,<LOD,1.2349,<LOD,3.4445,999882.3750 , 127.2335,<LOD,1.3860,<LOD,8.6395,<LOD,9.0498,<LOD,38.7276,<LOD,3.6289,114.4490 , 13.4927,<LOD,0.0000,<LOD,1.9096,<LOD,22.4697,<LOD,1.0952,<LOD,0.8810,<LOD,5.3886,3.1971 , 0.8721,<LOD,7.5549,<LOD,0.7858,<LOD,0.0000,<LOD,14.9239,<LOD,0.8893,<LOD,9.7002,<LOD,0.3176,<LOD,0.0000,<LOD,1.2861,<LOD,164.3627,<LOD,1.2785,<LOD,79.6685,<LOD,0.0000,<LOD,0.6238,<LOD,1.9940,<LOD,0.7220,
3086,Mining,19.00,19.14,,,,"Fri Mar 1, 2024 - 05:29:23",User,1.5,ppm,,,,,180-647,Mining,<LOD,7.8644,<LOD,1.3921,<LOD,3.8686,999884.1875 , 136.9144,<LOD,1.4762,<LOD,9.3480,<LOD,9.3504,<LOD,44.2158,<LOD,4.0434,110.7240 , 14.2563,<LOD,0.0000,<LOD,1.9907,<LOD,24.7189,<LOD,1.1628,<LOD,0.9452,<LOD,5.5253,5.0986 , 0.9827,<LOD,8.2249,<LOD,0.7630,<LOD,0.0000,<LOD,16.1641,<LOD,0.9963,<LOD,10.5058,<LOD,0.3385,<LOD,0.0000,<LOD,1.6276,<LOD,177.2198,<LOD,1.4101,<LOD,83.4945,<LOD,0.0000,<LOD,0.6668,<LOD,2.2359,<LOD,0.7693,
3087,Mining,20.37,19.90,,,,"Fri Mar 1, 2024 - 05:30:12",User,1.5,ppm,,,,,180-647,Mining,<LOD,7.5004,<LOD,1.3237,<LOD,3.4706,999879.6250 , 130.1109,<LOD,1.4247,<LOD,8.9087,<LOD,8.7118,<LOD,41.5326,<LOD,3.8212,116.9197 , 13.7689,<LOD,0.0000,<LOD,2.0328,<LOD,23.0798,<LOD,1.1243,<LOD,0.9013,<LOD,5.5935,3.4934 , 0.8998,<LOD,7.8554,<LOD,0.7162,<LOD,0.0000,<LOD,15.4160,<LOD,0.9325,<LOD,10.0272,<LOD,0.3178,<LOD,0.0000,<LOD,1.3176,<LOD,168.3009,<LOD,1.3493,<LOD,79.6602,<LOD,0.0000,<LOD,0.6287,<LOD,2.1745,<LOD,0.7386,
3088,Mining,19.57,19.23,,,,"Fri Mar 1, 2024 - 05:31:58",User,1.5,ppm,,,,,180-661,Mining,190.1930 , 167.2200,336.7506 , 7.9658,66.0424 , 10.3900,976742.3125 , 310.3475,<LOD,4.7579,375.7462 , 150.2673,<LOD,56.6217,389.7793 , 47.9680,15.6694 , 3.9709,17165.6465 , 112.3172,<LOD,0.0000,<LOD,3.2575,97.3236 , 26.0867,<LOD,1.7500,11.8112 , 0.9039,10.5688 , 6.1532,595.8933 , 6.7153,<LOD,9.6010,62.7060 , 1.6931,<LOD,0.0000,<LOD,19.1095,412.2953 , 5.3341,<LOD,12.4991,76.3915 , 0.8944,<LOD,0.0000,<LOD,5.2034,2855.3379 , 195.4754,<LOD,2.6509,234.3882 , 82.7725,<LOD,8.2999,18.9229 , 1.1902,38.6479 , 3.1413,303.5512 , 2.4270,
3089,Mining,19.71,19.56,,,,"Fri Mar 1, 2024 - 05:32:35",User,1.5,ppm,,,,,180-661,Mining,175.2903 , 154.1279,380.3275 , 8.0464,58.0135 , 10.2567,974695.9375 , 310.5412,<LOD,5.8762,317.2626 , 126.8874,<LOD,53.5729,437.6562 , 47.1068,8.4047 , 3.6333,18757.1270 , 112.8433,<LOD,0.0000,<LOD,3.2223,115.5433 , 25.8880,<LOD,1.6849,12.0071 , 0.8794,13.9225 , 5.8737,628.0179 , 6.7060,<LOD,8.9701,66.8020 , 1.6875,<LOD,0.0000,<LOD,18.0567,451.7376 , 5.3835,<LOD,11.8134,80.3469 , 0.8876,<LOD,0.0000,<LOD,4.7890,3277.2688 , 194.7566,<LOD,3.1448,148.3593 , 78.2586,<LOD,8.0166,18.2558 , 1.1672,49.4341 , 3.2567,308.2538 , 2.3753,
3090,Mining,19.63,19.56,,,,"Fri Mar 1, 2024 - 05:33:07",User,1.5,ppm,,,,,180-661,Mining,198.7358 , 174.7263,361.6556 , 8.1474,54.9615 , 10.4117,975605.5000 , 317.7748,<LOD,4.2404,392.5613 , 156.9878,<LOD,54.5000,444.0208 , 49.0994,17.8761 , 4.0393,18001.6641 , 114.3492,<LOD,0.0000,<LOD,3.3952,101.4673 , 26.4322,<LOD,1.7652,11.1320 , 0.9161,11.2502 , 6.0430,610.3653 , 6.8179,<LOD,9.6333,65.0812 , 1.7274,<LOD,0.0000,<LOD,19.2349,436.5487 , 5.4622,<LOD,12.5754,80.2675 , 0.9152,<LOD,0.0000,<LOD,5.9420,3054.6099 , 198.4138,2.1140 , 1.5411,172.6360 , 81.3323,<LOD,8.5129,21.8236 , 1.2214,54.5612 , 3.4813,301.2090 , 2.4238,
3091,Mining,4.51,4.25,,,,"Fri Mar 1, 2024 - 05:33:47",User,1.5,ppm,,,,,180-661,Mining,<LOD,30.8851,<LOD,33.1478,<LOD,19.0625,971265.9375 , 1130.9128,<LOD,7.7000,<LOD,36.5894,<LOD,212.8146,<LOD,192.2381,52.1895 , 16.9264,23493.2598 , 433.4757,<LOD,0.0000,<LOD,11.6238,626.7922 , 129.1481,<LOD,7.4822,66.6246 , 4.6125,<LOD,50.2948,241.0164 , 13.8255,<LOD,31.5413,131.2531 , 8.0186,<LOD,0.0000,<LOD,63.5065,<LOD,5.7354,<LOD,41.3866,144.3892 , 4.1437,<LOD,0.0000,15.8413 , 6.9939,3137.9348 , 672.2455,<LOD,14.4070,<LOD,489.6206,<LOD,0.0000,48.2144 , 4.8595,230.8089 , 20.9743,545.7243 , 11.1046,
3092,Mining,19.59,18.97,,,,"Fri Mar 1, 2024 - 05:35:48",User,1.5,ppm,,,,,180-649a,Mining,<LOD,8.7819,10.8928 , 3.7752,<LOD,4.8689,969669.1250 , 331.4871,<LOD,2.2707,<LOD,10.3252,<LOD,60.6471,<LOD,59.1723,62.7640 , 4.9285,24362.5215 , 123.9232,<LOD,0.0000,<LOD,2.6005,694.3827 , 37.3485,<LOD,2.0283,62.3914 , 1.2797,18.9410 , 6.3993,239.8397 , 3.8581,<LOD,8.9299,132.0182 , 2.2310,<LOD,0.0000,<LOD,18.0284,<LOD,1.3164,<LOD,11.7044,153.0071 , 1.1896,<LOD,0.0000,21.8825 , 2.0982,3531.3899 , 194.5025,3.7079 , 1.6513,154.3384 , 76.9992,<LOD,0.0000,53.1274 , 1.3916,243.0431 , 5.9909,586.6130 , 3.2167,
3093,Mining,19.78,18.95,,,,"Fri Mar 1, 2024 - 05:36:20",User,1.5,ppm,,,,,180-649a,Mining,<LOD,9.0787,14.6762 , 3.8086,<LOD,4.8386,970380.3750 , 337.2032,<LOD,2.3766,<LOD,10.6920,<LOD,60.7698,<LOD,76.6916,64.3119 , 5.0452,23635.5059 , 124.1511,<LOD,0.0000,<LOD,2.8738,679.7540 , 37.7754,<LOD,2.0760,63.7865 , 1.3133,9.8863 , 6.2365,230.5444 , 3.8472,<LOD,9.3068,132.1937 , 2.2772,<LOD,0.0000,<LOD,18.6671,<LOD,1.3222,<LOD,12.1365,151.6749 , 1.2032,<LOD,0.0000,19.5219 , 2.1132,3497.4832 , 197.9085,5.8402 , 1.7332,195.7338 , 79.6134,<LOD,0.0000,56.6709 , 1.4339,251.9005 , 6.1862,610.1185 , 3.3221,
3094,Mining,19.82,19.07,,,,"Fri Mar 1, 2024 - 05:36:55",User,1.5,ppm,,,,,180-649a,Mining,<LOD,9.2424,10.5329 , 3.7267,<LOD,4.6319,972370.6875 , 332.3784,<LOD,2.2798,<LOD,10.9152,<LOD,59.2586,<LOD,77.6306,55.6318 , 4.9399,22036.5957 , 122.2965,<LOD,0.0000,<LOD,3.3582,595.9863 , 36.6282,<LOD,2.5122,59.2505 , 1.2915,25.4660 , 6.5561,219.2702 , 3.8006,<LOD,9.5897,123.4661 , 2.2221,<LOD,0.0000,<LOD,19.0617,<LOD,1.3273,<LOD,12.3694,143.0787 , 1.1827,<LOD,0.0000,19.8820 , 2.0811,3371.7773 , 199.5661,3.9608 , 1.6837,86.3579 , 77.6388,<LOD,0.0000,51.6250 , 1.4013,235.9408 , 6.0739,590.5204 , 3.3015,
