Reading No;Reading Type;Duration;Main;Low;High;Light;Time;User;Sigma Value;Units;Batch;Heat;Lot;Note;Sample;Mode;Ag;Ag 2-Sigma;As;As 2-Sigma;Au;Au 2-Sigma;Ba;Ba 2-Sigma;Bal;Bal 2-Sigma;Bi;Bi 2-Sigma;Ca;Ca 2-Sigma;Cd;Cd 2-Sigma;Co;Co 2-Sigma;Cr;Cr 2-Sigma;Cu;Cu 2-Sigma;Fe;Fe 2-Sigma;Hf;Hf 2-Sigma;Hg;Hg 2-Sigma;K;K 2-Sigma;Mn;Mn 2-Sigma;Mo;Mo 2-Sigma;Nb;Nb 2-Sigma;Ni;Ni 2-Sigma;Pb;Pb 2-Sigma;Pd;Pd 2-Sigma;Rb;Rb 2-Sigma;Re;Re 2-Sigma;Sb;Sb 2-Sigma;Se;Se 2-Sigma;Sn;Sn 2-Sigma;Sr;Sr 2-Sigma;Ta;Ta 2-Sigma;Th;Th 2-Sigma;Ti;Ti 2-Sigma;U;U 2-Sigma;V;V 2-Sigma;W;W 2-Sigma;Y;Y 2-Sigma;Zn;Zn 2-Sigma;Zr;Zr 2-Sigma
3007;Mining;150.81;26.27;59.75;59.90;;Thu Feb 29, 2024 - 09:24:19;User;1.5;ppm;;;;;180-647;Mining;<LOD;0.9957;<LOD;15.532;<LOD;31.473;1.352.352;724.376;9.994.404.375;294.137;<LOD;12.458;65.575;42.607;<LOD;15.948;<LOD;88.291;234.069;18.901;<LOD;32.741;2.802.188;151.835;<LOD;0.0000;<LOD;17.149;1.012.311;114.596;<LOD;204.676;<LOD;0.9704;<LOD;0.7786;<LOD;49.892;<LOD;10.832;<LOD;0.8926;<LOD;0.6329;<LOD;0.0000;<LOD;29.707;<LOD;0.8191;58.207;15.526;<LOD;0.2870;<LOD;0.0000;<LOD;13.892;70.390;37.666;<LOD;11.639;<LOD;16.513;<LOD;0.0000;<LOD;0.5461;<LOD;18.736;<LOD;0.6412
3008;Mining;151.48;26.59;59.94;59.04;;Thu Feb 29, 2024 - 09:27:33;User;1.5;ppm;;;;;180-647;Mining;<LOD;10.099;<LOD;11.718;<LOD;31.505;1.402.843;751.418;9.996.556.875;280.023;<LOD;12.625;<LOD;72.535;<LOD;15.907;<LOD;85.717;176.481;18.369;<LOD;36.032;1.450.907;128.709;<LOD;0.0000;<LOD;17.706;215.268;101.427;<LOD;212.415;<LOD;0.9799;<LOD;0.7941;<LOD;51.806;46.505; 0.8257;<LOD;0.9054;<LOD;0.6344;<LOD;0.0000;<LOD;29.845;<LOD;0.8406;63.967;15.658;<LOD;0.2858;<LOD;0.0000;<LOD;11.802;87.115;36.540;<LOD;11.805;<LOD;16.471;<LOD;0.0000;<LOD;0.5574;<LOD;19.423;<LOD;0.6534
3009;Mining;19.55;19.47;;;;Thu Feb 29, 2024 - 09:29:03;User;1.5;ppm;;;;;180-647;Mining;<LOD;69.220;<LOD;48.698;<LOD;37.564;;;9.996.221.250;1.146.334;<LOD;17.311;;;<LOD;82.573;<LOD;82.610;<LOD;386.506;<LOD;34.799;810.263;122.957;<LOD;0.0000;<LOD;18.613;;;<LOD;220.357;<LOD;10.499;<LOD;0.8524;<LOD;51.563;2.968.295;36.196;<LOD;70.801;<LOD;0.7005;<LOD;0.0000;<LOD;142.237;<LOD;0.9655;<LOD;92.410;<LOD;0.3125;<LOD;0.0000;<LOD;21.190;<LOD;1.453.352;<LOD;12.553;<LOD;736.130;<LOD;0.0000;<LOD;0.7780;<LOD;21.074;<LOD;0.7022
3010;Mining;19.44;18.86;;;;Thu Feb 29, 2024 - 09:30:52;User;1.5;ppm;;;;;180-706;Mining;78.416;66.330;478.530;80.014;<LOD;65.915;;;9.770.436.875;3.077.167;<LOD;43.265;;;<LOD;116.416;<LOD;558.704;<LOD;762.003;2.553.070;86.308;169.219.062;1.154.526;<LOD;0.0000;<LOD;55.490;;;10.064.400;466.048;113.509;13.017;261.072;11.086;458.570;74.170;9.855.233;80.483;284.438;68.752;1.658.629;26.681;<LOD;0.0000;<LOD;326.717;<LOD;18.192;<LOD;131.612;1.499.967;12.719;<LOD;0.0000;87.200;29.665;17.803.531;1.820.991;37.613;18.305;2.886.133;838.818;<LOD;142.046;342.188;16.006;9.106.807;119.841;2.774.525;24.953
3011;Mining;19.67;19.55;;;;Thu Feb 29, 2024 - 09:31:30;User;1.5;ppm;;;;;180-706;Mining;68.713;64.005;523.141;77.620;<LOD;68.379;;;9.773.095.000;2.967.096;<LOD;34.229;;;<LOD;137.956;<LOD;531.290;<LOD;770.755;2.613.878;84.445;166.484.961;1.110.683;<LOD;0.0000;<LOD;61.349;;;9.638.794;444.270;136.700;12.655;266.608;10.794;501.720;71.489;9.821.403;77.834;229.428;66.217;1.660.569;25.872;<LOD;0.0000;135.667;133.000;<LOD;18.156;<LOD;126.868;1.526.659;12.422;<LOD;0.0000;111.007;28.743;18.678.212;1.783.899;36.892;17.805;2.268.132;797.694;<LOD;134.968;356.503;15.575;9.198.491;116.664;2.647.789;23.731
3012;Mining;19.49;19.59;;;;Thu Feb 29, 2024 - 09:32:13;User;1.5;ppm;;;;;180-706;Mining;76.329;65.597;456.167;80.224;<LOD;71.668;;;9.771.951.250;3.023.955;<LOD;35.261;;;<LOD;115.158;<LOD;547.308;636.973;397.563;2.600.267;86.435;166.537.852;1.139.719;<LOD;0.0000;<LOD;49.325;;;9.479.152;453.964;141.418;13.011;267.031;11.050;520.895;74.329;10.088.500;80.852;187.050;67.704;1.659.068;26.529;<LOD;0.0000;139.052;136.255;<LOD;19.431;<LOD;130.084;1.535.724;12.775;<LOD;0.0000;66.928;29.138;17.694.001;1.807.912;37.298;18.247;3.653.110;856.324;<LOD;159.457;337.828;15.925;9.284.761;120.179;2.649.408;24.330
3013;Mining;20.55;19.84;;;;Thu Feb 29, 2024 - 09:33:23;User;1.5;ppm;;;;;180-661;Mining;2.359.641;2.074.331;3.364.601;80.462;600.128;103.988;;;9.770.145.625;3.162.278;<LOD;38.953;;;4.651.348;1.859.890;<LOD;532.650;3.573.060;475.847;61.774;37.908;164.941.172;1.109.239;<LOD;0.0000;<LOD;33.478;;;973.269;262.730;<LOD;17.862;118.513; 0.9171;113.621;61.793;6.024.189;67.963;222.368;66.551;651.687;17.327;<LOD;0.0000;<LOD;198.654;4.153.037;53.834;<LOD;129.556;807.037; 0.9237;<LOD;0.0000;40.881;25.583;31.543.538;2.034.878;<LOD;28.636;1.871.689;834.319;<LOD;91.496;227.120;12.341;423.130;32.616;3.132.712;24.853
3014;Mining;20.32;19.92;;;;Thu Feb 29, 2024 - 09:33:59;User;1.5;ppm;;;;;180-661;Mining;1.931.306;1.697.980;3.019.280;72.998;564.252;95.254;;;9.789.856.250;2.856.378;<LOD;44.497;;;4.061.939;1.624.394;<LOD;496.761;4.474.821;477.038;151.705;38.233;155.248.604;1.037.612;<LOD;0.0000;<LOD;31.847;;;489.707;239.975;<LOD;16.673;108.063; 0.8555;<LOD;121.104;5.397.031;61.652;173.004;63.156;587.119;15.702;<LOD;0.0000;<LOD;186.893;3.751.694;49.046;<LOD;122.163;711.000; 0.8335;<LOD;0.0000;<LOD;46.615;24.574.319;1.830.224;<LOD;20.404;1.364.571;765.816;<LOD;82.011;177.908;11.112;459.046;31.806;2.898.498;22.824
3015;Mining;19.96;19.93;;;;Thu Feb 29, 2024 - 09:35:01;User;1.5;ppm;;;;;180-649;Mining;<LOD;95.215;79.010;37.597;<LOD;53.131;;;9.724.740.625;3.351.934;<LOD;24.523;;;<LOD;111.907;<LOD;602.767;514.277;372.361;617.291;51.533;217.976.562;1.228.193;<LOD;0.0000;<LOD;27.479;;;6.303.936;379.735;<LOD;28.071;615.671;13.271;154.837;65.426;2.203.971;38.627;171.485;65.941;1.252.568;22.708;<LOD;0.0000;<LOD;196.650;<LOD;14.586;<LOD;127.934;1.478.924;12.167;<LOD;0.0000;188.333;21.473;33.349.321;2.020.146;44.897;17.296;1.771.205;813.431;<LOD;0.0000;570.532;14.551;2.313.782;61.084;5.652.595;32.784
3016;Mining;21.08;;;;;Thu Feb 29, 2024 - 09:35:37;User;1.5;ppm;;;;;180-649;Mining;<LOD;94.804;120.584;38.930;51.736;37.131;;;9.718.173.125;3.367.117;<LOD;23.014;;;<LOD;111.301;<LOD;825.083;575.388;373.064;613.909;51.104;223.671.953;1.233.355;<LOD;0.0000;<LOD;32.676;;;6.705.667;385.259;42.112;14.210;660.887;13.458;108.150;65.012;2.362.723;39.621;135.730;65.454;1.327.703;23.170;<LOD;0.0000;<LOD;195.855;<LOD;14.550;<LOD;126.920;1.600.450;12.557;<LOD;0.0000;229.565;21.670;32.520.110;1.988.681;38.263;17.367;2.135.108;814.243;<LOD;0.0000;548.523;14.495;2.426.169;62.037;5.952.086;33.446
